frontend_faction_effect_junctions_tables
1
effect	faction	value	scope
wh_main_effect_tech_melee_defence_increase_fell_bats	wh2_main_isabella_leader	6	general_to_force_own
wh_main_effect_tech_upkeep_cost_reduction_vmp_bats_wolves	wh2_main_isabella_faction	-15	faction_to_force_own_unseen
skv_queek_k8p	wh2_main_queek_faction	25	faction_to_force_own_unseen
chs_raze	wh2_main_archaon_faction	1	faction_to_force_own_unseen
chs_raze	wh2_main_sigvald_faction	1	faction_to_force_own_unseen
chs_raze	wh2_main_kholek_faction	1	faction_to_force_own_unseen
brt_green	wh2_main_alberic_faction	1	faction_to_force_own_unseen
brt_green	wh2_main_fay_enchantress_faction	1	faction_to_force_own_unseen
brt_green	wh2_main_louen_leoncoeur_faction	1	faction_to_force_own_unseen
emp_empire	wh2_main_balthasar_faction	1	faction_to_force_own_unseen
emp_empire	wh2_main_karl_franz_faction	1	faction_to_force_own_unseen
emp_empire	wh2_main_volkmar_faction	1	faction_to_force_own_unseen
skv_queek_k8p_1	wh2_main_queek_faction	-1	faction_to_force_own_unseen
wh_main_effect_tech_melee_attack_increase_dragon_ogres	wh2_main_kholek_leader	7	general_to_force_own
wh_main_effect_force_unit_stat_fatigue_resistance_small	wh2_main_kholek_faction	-4	faction_to_force_own
wh_dlc03_effect_skill_melee_attack_increase_bst_tier_2	wh2_main_khazrak_leader	6	general_to_force_own
wh_main_effect_force_all_campaign_recruitment_cost_all	wh2_main_malagor_faction	-10	faction_to_force_own_unseen
wh_main_effect_force_unit_stat_melee_attack	wh2_main_grimgor_leader	4	general_to_force_own
wh_main_effect_tech_recruitment_cost_reduction_slayers	wh2_main_ungrim_faction	-15	faction_to_force_own_unseen
wh_main_effect_province_growth_characters	wh2_main_grombrindal_leader	15	character_to_province_own
wh_main_effect_krell_dummy	wh2_main_heinrich_leader	1	faction_to_faction_own_unseen
wh_dlc08_effect_melee_attack_reiksguard	wh2_main_karl_franz_leader	6	general_to_force_own
wh_main_effect_tech_upkeep_reduction_black_knights_grave_guard	wh2_main_mannfred_faction	-10	faction_to_force_own_unseen
wh_dlc06_effect_attack_increase_night_goblins	wh2_main_skarsnik_leader	4	general_to_force_own
wh2_main_effect_tech_unit_xp_levels_skv_clanrats	wh2_main_queek_leader	1	general_to_force_own
wh2_main_effect_tech_unit_xp_levels_skv_clanrats	wh2_main_vor_queek_leader	1	general_to_force_own
wh_main_effect_public_order_characters	wh2_main_skrolk_leader	1	character_to_province_own
wh_main_effect_public_order_characters	wh2_main_vor_skrolk_leader	1	character_to_province_own
wh_main_effect_force_all_campaign_sacking_income	wh2_main_wurrzag_faction	10	faction_to_character_own_unseen
wh_dlc04_effect_cost_reduction_sigmar_shrine	wh2_main_volkmar_leader	-10	faction_to_region_own
wh_dlc03_bst_effect_skill_melee_attack_increase_spawn	wh2_main_morghur_faction	5	faction_to_force_own_unseen
wh_main_faction_diplomacy_penalty_dwarfs	wh2_main_durthu_faction	-20	faction_to_faction_own_unseen
wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs	wh2_main_durthu_faction	5	faction_to_force_own_unseen
wh_dlc05_effect_force_melee_attack_stat_morale_versus_beastmen	wh2_main_orion_faction	5	faction_to_force_own_unseen
