building_upgrades_junction_tables
0
from	to
wh2_main_rogue_settlement_minor_coast_1	wh2_main_rogue_settlement_minor_coast_2
wh2_main_rogue_settlement_minor_coast_2	wh2_main_rogue_settlement_minor_coast_3
wh2_main_rogue_settlement_minor_coast_ruin	wh2_main_rogue_settlement_minor_coast_1
wh2_main_rogue_settlement_minor_ruin	wh2_main_rogue_settlement_minor_1
wh2_main_rogue_settlement_ruin	wh2_main_rogue_settlement_major_1
wh2_main_skv_assassins_1	wh2_main_skv_assassins_2
wh2_main_skv_assassins_2	wh2_main_skv_assassins_3
wh2_main_skv_clanrats_1	wh2_main_skv_clanrats_2
wh2_main_skv_clanrats_2	wh2_main_skv_clanrats_3
wh2_main_skv_defence_major_1	wh2_main_skv_defence_major_2
wh2_main_skv_defence_major_2	wh2_main_skv_defence_major_3
wh2_main_skv_defence_minor_1	wh2_main_skv_defence_minor_2
wh2_main_skv_energy_1	wh2_main_skv_energy_2
wh2_main_skv_energy_2	wh2_main_skv_energy_3
wh2_main_skv_energy_3	wh2_main_skv_energy_4
wh2_main_skv_energy_4	wh2_main_skv_energy_5
wh2_main_skv_engineers_1	wh2_main_skv_engineers_2
wh2_main_skv_engineers_2	wh2_main_skv_engineers_3
wh2_main_skv_farm_1	wh2_main_skv_farm_2
wh2_main_skv_farm_2	wh2_main_skv_farm_3
wh2_main_skv_monsters_1	wh2_main_skv_monsters_2
wh2_main_skv_order_1	wh2_main_skv_order_2
wh2_main_skv_order_2	wh2_main_skv_order_3
wh2_main_skv_order_3	wh2_main_skv_temple_1
wh2_main_skv_outpostnorsca_major_1_coast	wh2_main_skv_outpostnorsca_major_2_coast
wh2_main_skv_outpostnorsca_major_1	wh2_main_skv_outpostnorsca_major_2
wh2_main_skv_outpostnorsca_major_2_coast	wh2_main_skv_outpostnorsca_major_3_coast
wh2_main_skv_outpostnorsca_major_2	wh2_main_skv_outpostnorsca_major_3
wh2_main_skv_outpostnorsca_major_3_coast	wh2_main_skv_outpostnorsca_major_4_coast
wh2_main_skv_outpostnorsca_major_3	wh2_main_skv_outpostnorsca_major_4
wh2_main_skv_outpostnorsca_major_4_coast	wh2_main_skv_outpostnorsca_major_5_coast
wh2_main_skv_outpostnorsca_major_4	wh2_main_skv_outpostnorsca_major_5
wh2_main_skv_outpostnorsca_major_coast_ruin	wh2_main_skv_outpostnorsca_major_1_coast
wh2_main_skv_outpostnorsca_major_ruin	wh2_main_skv_outpostnorsca_major_1
wh2_main_skv_outpostnorsca_minor_1_coast	wh2_main_skv_outpostnorsca_minor_2_coast
wh2_main_skv_outpostnorsca_minor_1	wh2_main_skv_outpostnorsca_minor_2
wh2_main_skv_outpostnorsca_minor_2_coast	wh2_main_skv_outpostnorsca_minor_3_coast
wh2_main_skv_outpostnorsca_minor_2	wh2_main_skv_outpostnorsca_minor_3
wh2_main_skv_outpostnorsca_minor_coast_ruin	wh2_main_skv_outpostnorsca_minor_1_coast
wh2_main_skv_outpostnorsca_minor_ruin	wh2_main_skv_outpostnorsca_minor_1
wh2_main_skv_plagues_1	wh2_main_skv_plagues_2
wh2_main_skv_plagues_2	wh2_main_skv_plagues_3
wh2_main_skv_port_1	wh2_main_skv_port_2
wh2_main_skv_port_2	wh2_main_skv_port_3
wh2_main_skv_port_ruin	wh2_main_skv_port_1
wh2_main_skv_resource_animals_1	wh2_main_skv_resource_animals_2
wh2_main_skv_resource_animals_2	wh2_main_skv_resource_animals_3
wh2_main_skv_resource_dyes_1	wh2_main_skv_resource_dyes_2
wh2_main_skv_resource_dyes_2	wh2_main_skv_resource_dyes_3
wh2_main_skv_resource_furs_1	wh2_main_skv_resource_furs_2
wh2_main_skv_resource_furs_2	wh2_main_skv_resource_furs_3
wh2_main_skv_resource_gems_1	wh2_main_skv_resource_gems_2
wh2_main_skv_resource_gems_2	wh2_main_skv_resource_gems_3
wh2_main_skv_resource_gold_1	wh2_main_skv_resource_gold_2
wh2_main_skv_resource_gold_2	wh2_main_skv_resource_gold_3
wh2_main_skv_resource_iron_1	wh2_main_skv_resource_iron_2
wh2_main_skv_resource_iron_2	wh2_main_skv_resource_iron_3
wh2_main_skv_resource_marble_1	wh2_main_skv_resource_marble_2
wh2_main_skv_resource_marble_2	wh2_main_skv_resource_marble_3
wh2_main_skv_resource_medicine_1	wh2_main_skv_resource_medicine_2
wh2_main_skv_resource_medicine_2	wh2_main_skv_resource_medicine_3
wh2_main_skv_resource_obsidian_1	wh2_main_skv_resource_obsidian_2
wh2_main_skv_resource_obsidian_2	wh2_main_skv_resource_obsidian_3
wh2_main_skv_resource_pasture_1	wh2_main_skv_resource_pasture_2
wh2_main_skv_resource_pasture_2	wh2_main_skv_resource_pasture_3
wh2_main_skv_resource_pottery_1	wh2_main_skv_resource_pottery_2
wh2_main_skv_resource_pottery_2	wh2_main_skv_resource_pottery_3
wh2_main_skv_resource_salt_1	wh2_main_skv_resource_salt_2
wh2_main_skv_resource_salt_2	wh2_main_skv_resource_salt_3
wh2_main_skv_resource_spices_1	wh2_main_skv_resource_spices_2
wh2_main_skv_resource_spices_2	wh2_main_skv_resource_spices_3
wh2_main_skv_resource_wine_1	wh2_main_skv_resource_wine_2
wh2_main_skv_resource_wine_2	wh2_main_skv_resource_wine_3
wh2_main_skv_resource_wood_1	wh2_main_skv_resource_wood_2
wh2_main_skv_resource_wood_2	wh2_main_skv_resource_wood_3
wh2_main_skv_salvage_1	wh2_main_skv_salvage_2
wh2_main_skv_salvage_2	wh2_main_skv_salvage_3
wh2_main_skv_settlement_major_1_coast	wh2_main_skv_settlement_major_2_coast
wh2_main_skv_settlement_major_1	wh2_main_skv_settlement_major_2
wh2_main_skv_settlement_major_2_coast	wh2_main_skv_settlement_major_3_coast
wh2_main_skv_settlement_major_2	wh2_main_skv_settlement_major_3
wh2_main_skv_settlement_major_3_coast	wh2_main_skv_settlement_major_4_coast
wh2_main_skv_settlement_major_3	wh2_main_skv_settlement_major_4
wh2_main_skv_settlement_major_4_coast	wh2_main_skv_settlement_major_5_coast
wh2_main_skv_settlement_major_4	wh2_main_skv_settlement_major_5
wh2_main_skv_settlement_major_coast_ruin	wh2_main_skv_settlement_major_1_coast
wh2_main_skv_settlement_major_ruin	wh2_main_skv_settlement_major_1
wh2_main_skv_settlement_minor_1_coast	wh2_main_skv_settlement_minor_2_coast
wh2_main_skv_settlement_minor_1	wh2_main_skv_settlement_minor_2
wh2_main_skv_settlement_minor_2_coast	wh2_main_skv_settlement_minor_3_coast
wh2_main_skv_settlement_minor_2	wh2_main_skv_settlement_minor_3
wh2_main_skv_settlement_minor_coast_ruin	wh2_main_skv_settlement_minor_1_coast
wh2_main_skv_settlement_minor_ruin	wh2_main_skv_settlement_minor_1
wh2_main_special_eight_peaks_skv_1	wh2_main_special_eight_peaks_skv_2
wh2_main_special_eight_peaks_skv_2	wh2_main_special_eight_peaks_skv_3
wh2_main_special_fortress_gate_eagle_chaos_1	wh2_main_special_fortress_gate_eagle_chaos_2
wh2_main_special_fortress_gate_eagle_chaos_2	wh2_main_special_fortress_gate_eagle_chaos_3
wh2_main_special_fortress_gate_eagle_chaos_3	wh2_main_special_fortress_gate_eagle_chaos_4
wh2_main_special_fortress_gate_eagle_chaos_4	wh2_main_special_fortress_gate_eagle_chaos_5
wh2_main_special_fortress_gate_eagle_chaos_ruins	wh2_main_special_fortress_gate_eagle_chaos_1
wh2_main_special_fortress_gate_eagle_hef_1	wh2_main_special_fortress_gate_eagle_hef_2
wh2_main_special_fortress_gate_eagle_hef_2	wh2_main_special_fortress_gate_eagle_hef_3
wh2_main_special_fortress_gate_eagle_hef_3	wh2_main_special_fortress_gate_eagle_hef_4
wh2_main_special_fortress_gate_eagle_hef_4	wh2_main_special_fortress_gate_eagle_hef_5
wh2_main_special_fortress_gate_eagle_hef_ruins	wh2_main_special_fortress_gate_eagle_hef_1
wh2_main_special_fortress_gate_eagle_skaven_1	wh2_main_special_fortress_gate_eagle_skaven_2
wh2_main_special_fortress_gate_eagle_skaven_2	wh2_main_special_fortress_gate_eagle_skaven_3
wh2_main_special_fortress_gate_eagle_skaven_3	wh2_main_special_fortress_gate_eagle_skaven_4
wh2_main_special_fortress_gate_eagle_skaven_4	wh2_main_special_fortress_gate_eagle_skaven_5
wh2_main_special_fortress_gate_eagle_skaven_ruins	wh2_main_special_fortress_gate_eagle_skaven_1
wh2_main_special_fortress_gate_eagle_untainted_1	wh2_main_special_fortress_gate_eagle_untainted_2
wh2_main_special_fortress_gate_eagle_untainted_2	wh2_main_special_fortress_gate_eagle_untainted_3
wh2_main_special_fortress_gate_eagle_untainted_3	wh2_main_special_fortress_gate_eagle_untainted_4
wh2_main_special_fortress_gate_eagle_untainted_4	wh2_main_special_fortress_gate_eagle_untainted_5
wh2_main_special_fortress_gate_eagle_untainted_ruins	wh2_main_special_fortress_gate_eagle_untainted_1
wh2_main_special_fortress_gate_eagle_vmp_1	wh2_main_special_fortress_gate_eagle_vmp_2
wh2_main_special_fortress_gate_eagle_vmp_2	wh2_main_special_fortress_gate_eagle_vmp_3
wh2_main_special_fortress_gate_eagle_vmp_3	wh2_main_special_fortress_gate_eagle_vmp_4
wh2_main_special_fortress_gate_eagle_vmp_4	wh2_main_special_fortress_gate_eagle_vmp_5
wh2_main_special_fortress_gate_eagle_vmp_ruins	wh2_main_special_fortress_gate_eagle_vmp_1
wh2_main_special_fortress_gate_eagle_wef_ruins	wh2_main_special_fortress_gate_eagle_wef_1
wh2_main_special_fortress_gate_griffon_chaos_1	wh2_main_special_fortress_gate_griffon_chaos_2
wh2_main_special_fortress_gate_griffon_chaos_2	wh2_main_special_fortress_gate_griffon_chaos_3
wh2_main_special_fortress_gate_griffon_chaos_3	wh2_main_special_fortress_gate_griffon_chaos_4
wh2_main_special_fortress_gate_griffon_chaos_4	wh2_main_special_fortress_gate_griffon_chaos_5
wh2_main_special_fortress_gate_griffon_chaos_ruins	wh2_main_special_fortress_gate_griffon_chaos_1
wh2_main_special_fortress_gate_griffon_hef_1	wh2_main_special_fortress_gate_griffon_hef_2
wh2_main_special_fortress_gate_griffon_hef_2	wh2_main_special_fortress_gate_griffon_hef_3
wh2_main_special_fortress_gate_griffon_hef_3	wh2_main_special_fortress_gate_griffon_hef_4
wh2_main_special_fortress_gate_griffon_hef_4	wh2_main_special_fortress_gate_griffon_hef_5
wh2_main_special_fortress_gate_griffon_hef_ruins	wh2_main_special_fortress_gate_griffon_hef_1
wh2_main_special_fortress_gate_griffon_skaven_1	wh2_main_special_fortress_gate_griffon_skaven_2
wh2_main_special_fortress_gate_griffon_skaven_2	wh2_main_special_fortress_gate_griffon_skaven_3
wh2_main_special_fortress_gate_griffon_skaven_3	wh2_main_special_fortress_gate_griffon_skaven_4
wh2_main_special_fortress_gate_griffon_skaven_4	wh2_main_special_fortress_gate_griffon_skaven_5
wh2_main_special_fortress_gate_griffon_skaven_ruins	wh2_main_special_fortress_gate_griffon_skaven_1
wh2_main_special_fortress_gate_griffon_untainted_1	wh2_main_special_fortress_gate_griffon_untainted_2
wh2_main_special_fortress_gate_griffon_untainted_2	wh2_main_special_fortress_gate_griffon_untainted_3
wh2_main_special_fortress_gate_griffon_untainted_3	wh2_main_special_fortress_gate_griffon_untainted_4
wh2_main_special_fortress_gate_griffon_untainted_4	wh2_main_special_fortress_gate_griffon_untainted_5
wh2_main_special_fortress_gate_griffon_untainted_ruins	wh2_main_special_fortress_gate_griffon_untainted_1
wh2_main_special_fortress_gate_griffon_vmp_1	wh2_main_special_fortress_gate_griffon_vmp_2
wh2_main_special_fortress_gate_griffon_vmp_2	wh2_main_special_fortress_gate_griffon_vmp_3
wh2_main_special_fortress_gate_griffon_vmp_3	wh2_main_special_fortress_gate_griffon_vmp_4
wh2_main_special_fortress_gate_griffon_vmp_4	wh2_main_special_fortress_gate_griffon_vmp_5
wh2_main_special_fortress_gate_griffon_vmp_ruins	wh2_main_special_fortress_gate_griffon_vmp_1
wh2_main_special_fortress_gate_griffon_wef_ruins	wh2_main_special_fortress_gate_griffon_wef_1
wh2_main_special_fortress_gate_phoenix_chaos_1	wh2_main_special_fortress_gate_phoenix_chaos_2
wh2_main_special_fortress_gate_phoenix_chaos_2	wh2_main_special_fortress_gate_phoenix_chaos_3
wh2_main_special_fortress_gate_phoenix_chaos_3	wh2_main_special_fortress_gate_phoenix_chaos_4
wh2_main_special_fortress_gate_phoenix_chaos_4	wh2_main_special_fortress_gate_phoenix_chaos_5
wh2_main_special_fortress_gate_phoenix_chaos_ruins	wh2_main_special_fortress_gate_phoenix_chaos_1
wh2_main_special_fortress_gate_phoenix_hef_1	wh2_main_special_fortress_gate_phoenix_hef_2
wh2_main_special_fortress_gate_phoenix_hef_2	wh2_main_special_fortress_gate_phoenix_hef_3
wh2_main_special_fortress_gate_phoenix_hef_3	wh2_main_special_fortress_gate_phoenix_hef_4
wh2_main_special_fortress_gate_phoenix_hef_4	wh2_main_special_fortress_gate_phoenix_hef_5
wh2_main_special_fortress_gate_phoenix_hef_ruins	wh2_main_special_fortress_gate_phoenix_hef_1
wh2_main_special_fortress_gate_phoenix_skaven_1	wh2_main_special_fortress_gate_phoenix_skaven_2
wh2_main_special_fortress_gate_phoenix_skaven_2	wh2_main_special_fortress_gate_phoenix_skaven_3
wh2_main_special_fortress_gate_phoenix_skaven_3	wh2_main_special_fortress_gate_phoenix_skaven_4
wh2_main_special_fortress_gate_phoenix_skaven_4	wh2_main_special_fortress_gate_phoenix_skaven_5
wh2_main_special_fortress_gate_phoenix_skaven_ruins	wh2_main_special_fortress_gate_phoenix_skaven_1
wh2_main_special_fortress_gate_phoenix_untainted_1	wh2_main_special_fortress_gate_phoenix_untainted_2
wh2_main_special_fortress_gate_phoenix_untainted_2	wh2_main_special_fortress_gate_phoenix_untainted_3
wh2_main_special_fortress_gate_phoenix_untainted_3	wh2_main_special_fortress_gate_phoenix_untainted_4
wh2_main_special_fortress_gate_phoenix_untainted_4	wh2_main_special_fortress_gate_phoenix_untainted_5
wh2_main_special_fortress_gate_phoenix_untainted_ruins	wh2_main_special_fortress_gate_phoenix_untainted_1
wh2_main_special_fortress_gate_phoenix_vmp_1	wh2_main_special_fortress_gate_phoenix_vmp_2
wh2_main_special_fortress_gate_phoenix_vmp_2	wh2_main_special_fortress_gate_phoenix_vmp_3
wh2_main_special_fortress_gate_phoenix_vmp_3	wh2_main_special_fortress_gate_phoenix_vmp_4
wh2_main_special_fortress_gate_phoenix_vmp_4	wh2_main_special_fortress_gate_phoenix_vmp_5
wh2_main_special_fortress_gate_phoenix_vmp_ruins	wh2_main_special_fortress_gate_phoenix_vmp_1
wh2_main_special_fortress_gate_phoenix_wef_ruins	wh2_main_special_fortress_gate_phoenix_wef_1
wh2_main_special_fortress_gate_unicorn_chaos_1	wh2_main_special_fortress_gate_unicorn_chaos_2
wh2_main_special_fortress_gate_unicorn_chaos_2	wh2_main_special_fortress_gate_unicorn_chaos_3
wh2_main_special_fortress_gate_unicorn_chaos_3	wh2_main_special_fortress_gate_unicorn_chaos_4
wh2_main_special_fortress_gate_unicorn_chaos_4	wh2_main_special_fortress_gate_unicorn_chaos_5
wh2_main_special_fortress_gate_unicorn_chaos_ruins	wh2_main_special_fortress_gate_unicorn_chaos_1
wh2_main_special_fortress_gate_unicorn_hef_1	wh2_main_special_fortress_gate_unicorn_hef_2
wh2_main_special_fortress_gate_unicorn_hef_2	wh2_main_special_fortress_gate_unicorn_hef_3
wh2_main_special_fortress_gate_unicorn_hef_3	wh2_main_special_fortress_gate_unicorn_hef_4
wh2_main_special_fortress_gate_unicorn_hef_4	wh2_main_special_fortress_gate_unicorn_hef_5
wh2_main_special_fortress_gate_unicorn_hef_ruins	wh2_main_special_fortress_gate_unicorn_hef_1
wh2_main_special_fortress_gate_unicorn_skaven_1	wh2_main_special_fortress_gate_unicorn_skaven_2
wh2_main_special_fortress_gate_unicorn_skaven_2	wh2_main_special_fortress_gate_unicorn_skaven_3
wh2_main_special_fortress_gate_unicorn_skaven_3	wh2_main_special_fortress_gate_unicorn_skaven_4
wh2_main_special_fortress_gate_unicorn_skaven_4	wh2_main_special_fortress_gate_unicorn_skaven_5
wh2_main_special_fortress_gate_unicorn_skaven_ruins	wh2_main_special_fortress_gate_unicorn_skaven_1
wh2_main_special_fortress_gate_unicorn_untainted_1	wh2_main_special_fortress_gate_unicorn_untainted_2
wh2_main_special_fortress_gate_unicorn_untainted_2	wh2_main_special_fortress_gate_unicorn_untainted_3
wh2_main_special_fortress_gate_unicorn_untainted_3	wh2_main_special_fortress_gate_unicorn_untainted_4
wh2_main_special_fortress_gate_unicorn_untainted_4	wh2_main_special_fortress_gate_unicorn_untainted_5
wh2_main_special_fortress_gate_unicorn_untainted_ruins	wh2_main_special_fortress_gate_unicorn_untainted_1
wh2_main_special_fortress_gate_unicorn_vmp_1	wh2_main_special_fortress_gate_unicorn_vmp_2
wh2_main_special_fortress_gate_unicorn_vmp_2	wh2_main_special_fortress_gate_unicorn_vmp_3
wh2_main_special_fortress_gate_unicorn_vmp_3	wh2_main_special_fortress_gate_unicorn_vmp_4
wh2_main_special_fortress_gate_unicorn_vmp_4	wh2_main_special_fortress_gate_unicorn_vmp_5
wh2_main_special_fortress_gate_unicorn_vmp_ruins	wh2_main_special_fortress_gate_unicorn_vmp_1
wh2_main_special_fortress_gate_unicorn_wef_ruins	wh2_main_special_fortress_gate_unicorn_wef_1
wh2_main_special_ghrond_convent_of_sorcery_1_emp	wh2_main_special_ghrond_convent_of_sorcery_2_emp
wh2_main_special_ghrond_convent_of_sorcery_1_hef	wh2_main_special_ghrond_convent_of_sorcery_2_hef
wh2_main_special_ghrond_convent_of_sorcery_1_other	wh2_main_special_ghrond_convent_of_sorcery_2_other
wh2_main_special_ghrond_convent_of_sorcery_1_vmp	wh2_main_special_ghrond_convent_of_sorcery_2_vmp
wh2_main_special_ghrond_convent_of_sorcery_1	wh2_main_special_ghrond_convent_of_sorcery_2
wh2_main_special_hag_graef_mines_1	wh2_main_special_hag_graef_mines_2
wh2_main_special_hag_graef_mines_2	wh2_main_special_hag_graef_mines_3
wh2_main_special_hag_graef_mines_3	wh2_main_special_hag_graef_mines_4
wh2_main_special_hag_graef_mines_def_1	wh2_main_special_hag_graef_mines_def_2
wh2_main_special_hag_graef_mines_def_2	wh2_main_special_hag_graef_mines_def_3
wh2_main_special_hag_graef_mines_def_3	wh2_main_special_hag_graef_mines_def_4
wh2_main_special_lothern_port_1	wh2_main_special_lothern_port_2
wh2_main_special_lothern_port_2	wh2_main_special_lothern_port_3
wh2_main_special_lothern_port_other_1	wh2_main_special_lothern_port_other_2
wh2_main_special_lothern_port_other_2	wh2_main_special_lothern_port_other_3
wh2_main_special_lothern_port_other_ruin	wh2_main_special_lothern_port_other_1
wh2_main_special_lothern_port_ruin	wh2_main_special_lothern_port_1
wh2_main_special_quintex_0	wh2_main_special_quintex_1
wh2_main_special_quintex_1	wh2_main_special_quintex_2
wh2_main_special_settlement_altdorf_def_1	wh2_main_special_settlement_altdorf_def_2
wh2_main_special_settlement_altdorf_def_2	wh2_main_special_settlement_altdorf_def_3
wh2_main_special_settlement_altdorf_def_3	wh2_main_special_settlement_altdorf_def_4
wh2_main_special_settlement_altdorf_def_4	wh2_main_special_settlement_altdorf_def_5
wh2_main_special_settlement_altdorf_def_ruin	wh2_main_special_settlement_altdorf_def_1
wh2_main_special_settlement_altdorf_dwf_1	wh2_main_special_settlement_altdorf_dwf_2
wh2_main_special_settlement_altdorf_dwf_2	wh2_main_special_settlement_altdorf_dwf_3
wh2_main_special_settlement_altdorf_dwf_3	wh2_main_special_settlement_altdorf_dwf_4
wh2_main_special_settlement_altdorf_dwf_4	wh2_main_special_settlement_altdorf_dwf_5
wh2_main_special_settlement_altdorf_dwf_ruin	wh2_main_special_settlement_altdorf_dwf_1
wh2_main_special_settlement_altdorf_grn_1	wh2_main_special_settlement_altdorf_grn_2
wh2_main_special_settlement_altdorf_grn_2	wh2_main_special_settlement_altdorf_grn_3
wh2_main_special_settlement_altdorf_grn_3	wh2_main_special_settlement_altdorf_grn_4
wh2_main_special_settlement_altdorf_grn_4	wh2_main_special_settlement_altdorf_grn_5
wh2_main_special_settlement_altdorf_grn_ruin	wh2_main_special_settlement_altdorf_grn_1
wh2_main_special_settlement_altdorf_hef_1	wh2_main_special_settlement_altdorf_hef_2
wh2_main_special_settlement_altdorf_hef_2	wh2_main_special_settlement_altdorf_hef_3
wh2_main_special_settlement_altdorf_hef_3	wh2_main_special_settlement_altdorf_hef_4
wh2_main_special_settlement_altdorf_hef_4	wh2_main_special_settlement_altdorf_hef_5
wh2_main_special_settlement_altdorf_hef_ruin	wh2_main_special_settlement_altdorf_hef_1
wh2_main_special_settlement_altdorf_lzd_1	wh2_main_special_settlement_altdorf_lzd_2
wh2_main_special_settlement_altdorf_lzd_2	wh2_main_special_settlement_altdorf_lzd_3
wh2_main_special_settlement_altdorf_lzd_3	wh2_main_special_settlement_altdorf_lzd_4
wh2_main_special_settlement_altdorf_lzd_4	wh2_main_special_settlement_altdorf_lzd_5
wh2_main_special_settlement_altdorf_lzd_ruin	wh2_main_special_settlement_altdorf_lzd_1
wh2_main_special_settlement_altdorf_norsca_1	wh2_main_special_settlement_altdorf_norsca_2
wh2_main_special_settlement_altdorf_norsca_2	wh2_main_special_settlement_altdorf_norsca_3
wh2_main_special_settlement_altdorf_norsca_ruin	wh2_main_special_settlement_altdorf_norsca_1
wh2_main_special_settlement_altdorf_other_1	wh2_main_special_settlement_altdorf_other_2
wh2_main_special_settlement_altdorf_other_2	wh2_main_special_settlement_altdorf_other_3
wh2_main_special_settlement_altdorf_other_3	wh2_main_special_settlement_altdorf_other_4
wh2_main_special_settlement_altdorf_other_4	wh2_main_special_settlement_altdorf_other_5
wh2_main_special_settlement_altdorf_other_ruin	wh2_main_special_settlement_altdorf_other_1
wh2_main_special_settlement_altdorf_savage_1	wh2_main_special_settlement_altdorf_savage_2
wh2_main_special_settlement_altdorf_savage_2	wh2_main_special_settlement_altdorf_savage_3
wh2_main_special_settlement_altdorf_savage_ruin	wh2_main_special_settlement_altdorf_savage_1
wh2_main_special_settlement_altdorf_skv_1	wh2_main_special_settlement_altdorf_skv_2
wh2_main_special_settlement_altdorf_skv_2	wh2_main_special_settlement_altdorf_skv_3
wh2_main_special_settlement_altdorf_skv_3	wh2_main_special_settlement_altdorf_skv_4
wh2_main_special_settlement_altdorf_skv_4	wh2_main_special_settlement_altdorf_skv_5
wh2_main_special_settlement_altdorf_skv_ruin	wh2_main_special_settlement_altdorf_skv_1
wh2_main_special_settlement_athel_loren_brt_1	wh2_main_special_settlement_athel_loren_brt_2
wh2_main_special_settlement_athel_loren_brt_2	wh2_main_special_settlement_athel_loren_brt_3
wh2_main_special_settlement_athel_loren_brt_3	wh2_main_special_settlement_athel_loren_brt_4
wh2_main_special_settlement_athel_loren_brt_4	wh2_main_special_settlement_athel_loren_brt_5
wh2_main_special_settlement_athel_loren_brt_ruin	wh2_main_special_settlement_athel_loren_brt_1
wh2_main_special_settlement_athel_loren_def_1	wh2_main_special_settlement_athel_loren_def_2
wh2_main_special_settlement_athel_loren_def_2	wh2_main_special_settlement_athel_loren_def_3
wh2_main_special_settlement_athel_loren_def_3	wh2_main_special_settlement_athel_loren_def_4
wh2_main_special_settlement_athel_loren_def_4	wh2_main_special_settlement_athel_loren_def_5
wh2_main_special_settlement_athel_loren_def_ruin	wh2_main_special_settlement_athel_loren_def_1
wh2_main_special_settlement_athel_loren_dwf_1	wh2_main_special_settlement_athel_loren_dwf_2
wh2_main_special_settlement_athel_loren_dwf_2	wh2_main_special_settlement_athel_loren_dwf_3
wh2_main_special_settlement_athel_loren_dwf_3	wh2_main_special_settlement_athel_loren_dwf_4
wh2_main_special_settlement_athel_loren_dwf_4	wh2_main_special_settlement_athel_loren_dwf_5
wh2_main_special_settlement_athel_loren_dwf_ruin	wh2_main_special_settlement_athel_loren_dwf_1
wh2_main_special_settlement_athel_loren_emp_1	wh2_main_special_settlement_athel_loren_emp_2
wh2_main_special_settlement_athel_loren_emp_2	wh2_main_special_settlement_athel_loren_emp_3
wh2_main_special_settlement_athel_loren_emp_3	wh2_main_special_settlement_athel_loren_emp_4
wh2_main_special_settlement_athel_loren_emp_4	wh2_main_special_settlement_athel_loren_emp_5
wh2_main_special_settlement_athel_loren_emp_ruin	wh2_main_special_settlement_athel_loren_emp_1
wh2_main_special_settlement_athel_loren_grn_1	wh2_main_special_settlement_athel_loren_grn_2
wh2_main_special_settlement_athel_loren_grn_2	wh2_main_special_settlement_athel_loren_grn_3
wh2_main_special_settlement_athel_loren_grn_3	wh2_main_special_settlement_athel_loren_grn_4
wh2_main_special_settlement_athel_loren_grn_4	wh2_main_special_settlement_athel_loren_grn_5
wh2_main_special_settlement_athel_loren_grn_ruin	wh2_main_special_settlement_athel_loren_grn_1
wh2_main_special_settlement_athel_loren_hef_1	wh2_main_special_settlement_athel_loren_hef_2
wh2_main_special_settlement_athel_loren_hef_2	wh2_main_special_settlement_athel_loren_hef_3
wh2_main_special_settlement_athel_loren_hef_3	wh2_main_special_settlement_athel_loren_hef_4
wh2_main_special_settlement_athel_loren_hef_4	wh2_main_special_settlement_athel_loren_hef_5
wh2_main_special_settlement_athel_loren_hef_ruin	wh2_main_special_settlement_athel_loren_hef_1
wh2_main_special_settlement_athel_loren_lzd_1	wh2_main_special_settlement_athel_loren_lzd_2
wh2_main_special_settlement_athel_loren_lzd_2	wh2_main_special_settlement_athel_loren_lzd_3
wh2_main_special_settlement_athel_loren_lzd_3	wh2_main_special_settlement_athel_loren_lzd_4
wh2_main_special_settlement_athel_loren_lzd_4	wh2_main_special_settlement_athel_loren_lzd_5
wh2_main_special_settlement_athel_loren_lzd_ruin	wh2_main_special_settlement_athel_loren_lzd_1
wh2_main_special_settlement_athel_loren_norsca_1	wh2_main_special_settlement_athel_loren_norsca_2
wh2_main_special_settlement_athel_loren_norsca_2	wh2_main_special_settlement_athel_loren_norsca_3
wh2_main_special_settlement_athel_loren_norsca_ruin	wh2_main_special_settlement_athel_loren_norsca_1
wh2_main_special_settlement_athel_loren_rogue_ruin	wh2_main_special_settlement_athel_loren_rogue_1
wh2_main_special_settlement_athel_loren_savage_1	wh2_main_special_settlement_athel_loren_savage_2
wh2_main_special_settlement_athel_loren_savage_2	wh2_main_special_settlement_athel_loren_savage_3
wh2_main_special_settlement_athel_loren_savage_ruin	wh2_main_special_settlement_athel_loren_savage_1
wh2_main_special_settlement_athel_loren_skv_1	wh2_main_special_settlement_athel_loren_skv_2
wh2_main_special_settlement_athel_loren_skv_2	wh2_main_special_settlement_athel_loren_skv_3
wh2_main_special_settlement_athel_loren_skv_3	wh2_main_special_settlement_athel_loren_skv_4
wh2_main_special_settlement_athel_loren_skv_4	wh2_main_special_settlement_athel_loren_skv_5
wh2_main_special_settlement_athel_loren_skv_ruin	wh2_main_special_settlement_athel_loren_skv_1
wh2_main_special_settlement_athel_loren_vmp_1	wh2_main_special_settlement_athel_loren_vmp_2
wh2_main_special_settlement_athel_loren_vmp_2	wh2_main_special_settlement_athel_loren_vmp_3
wh2_main_special_settlement_athel_loren_vmp_3	wh2_main_special_settlement_athel_loren_vmp_4
wh2_main_special_settlement_athel_loren_vmp_4	wh2_main_special_settlement_athel_loren_vmp_5
wh2_main_special_settlement_athel_loren_vmp_ruin	wh2_main_special_settlement_athel_loren_vmp_1
wh2_main_special_settlement_black_crag_brt_1	wh2_main_special_settlement_black_crag_brt_2
wh2_main_special_settlement_black_crag_brt_2	wh2_main_special_settlement_black_crag_brt_3
wh2_main_special_settlement_black_crag_brt_3	wh2_main_special_settlement_black_crag_brt_4
wh2_main_special_settlement_black_crag_brt_4	wh2_main_special_settlement_black_crag_brt_5
