campaign_variables_tables
0
variable_key	value
food_shortage_system_morale_mod_cap	5
food_shortage_system_replenishment_mod_cap	5
general_admiral_action_point_bonus	0.1
geomantic_web_display_circle_radius	5
geomantic_web_display_height_offset	2
geomantic_web_province_strength_ally	3
geomantic_web_province_strength_enemy	1
geomantic_web_province_strength_neutral	2
geomantic_web_province_strength_own	2
gift_base_value_large	7500
gift_base_value_medium	2000
gift_base_value_small	500
gravitas_max_starting	100
gravitas_min_starting	10
high_loyalty_dilemma_generation_chance	2
horde_host_spawn_development_point_carry_over	0
horde_host_spawn_development_point_cost_base	2
horde_host_spawn_development_point_cost_current_host_mod	4
horde_infighting_ai_food_consumption	0
horde_infighting_ai_gdp_mod	-5
horde_infighting_attrition_radius	10
horde_infighting_food_consumption	0
horde_infighting_gdp_mod	0
hostage_turns	8
intrigue_at_the_court_base_cost	3
intrigue_at_the_court_non_hef_cost_multiplier	1.334
intrigue_at_the_court_recent_usage_cost_increase	1.4
intrigue_at_the_court_recent_usage_turn_window	10
intrigue_at_the_court_war_or_ally_cost_modifier	1.334
loot_casualties_modifer	0.1
loot_fraction_recruitment_cost_recieved_per_routed_unit	0.05
loot_per_agent_level	50
losing_unit_minimum_strength	0.2
low_loyalty_dilemma_generation_chance	33
loyalty_high	6
loyalty_interfaction_affinity_from_attitude_a	0.1
loyalty_interfaction_affinity_from_attitude_b	-0.1
loyalty_interfaction_battle_result_close_defeat	-6
loyalty_interfaction_battle_result_close_victory	14
loyalty_interfaction_battle_result_crushing_defeat	-14
loyalty_interfaction_battle_result_decay_start_close_defeat	6
loyalty_interfaction_battle_result_decay_start_close_victory	14
loyalty_interfaction_battle_result_decay_start_crushing_defeat	14
loyalty_interfaction_battle_result_decay_start_decisive_defeat	10
loyalty_interfaction_battle_result_decay_start_decisive_victory	10
loyalty_interfaction_battle_result_decay_start_draw	1
loyalty_interfaction_battle_result_decay_start_heroic_victory	6
loyalty_interfaction_battle_result_decay_start_pyrrhic_victory	2
loyalty_interfaction_battle_result_decay_start_valiant_defeat	2
loyalty_interfaction_battle_result_decisive_defeat	10
loyalty_interfaction_battle_result_decisive_victory	10
loyalty_interfaction_battle_result_dirrect_faction_multiplier	1.5
loyalty_interfaction_battle_result_draw	1
loyalty_interfaction_battle_result_heroic_victory	6
loyalty_interfaction_battle_result_pyrrhic_victory	2
loyalty_interfaction_battle_result_valiant_defeat	-2
loyalty_interfaction_intimidation_from_battle_history_a	0.05
loyalty_interfaction_intimidation_from_battle_history_b	-0.05
loyalty_interfaction_loyalty_from_affinity_a	0.5
loyalty_interfaction_loyalty_from_affinity_b	-2
loyalty_interfaction_loyalty_from_intimidation_a	1
loyalty_interfaction_loyalty_from_intimidation_b	-5
loyalty_interfaction_max_affinity_from_attitude	10
loyalty_interfaction_max_intimidation_from_battle_history	0
loyalty_interfaction_max_intimidation_from_strength	4
loyalty_interfaction_max_loyalty_from_affinity	3
loyalty_interfaction_max_loyalty_from_intimidation	5
loyalty_interfaction_required_for_confederation	1
loyalty_personal_loyalty_interfaction_max	3
loyalty_personal_loyalty_interfaction_min	-3
loyalty_personal_loyalty_max	3
loyalty_personal_loyalty_min	-3
loyalty_point_of_support	0
loyalty_recruitment_inaccuracy	5
loyalty_risk_critical	2
loyalty_risk_low	4
max_civilians_at_settlement_development_level	20
max_num_ancillaries	12
max_num_civilians_in_non_settlement_battle	3200
max_num_civilians_in_settlement_battle	3200
max_siege_equipment	10
maximum_building_level	5
maximum_faction_leader_honour	0
maximum_loyalty	10
maximum_loyalty_interfaction	10
maximum_number_of_forces_recruitable_in_a_province_in_one_turn	1
maximum_number_of_forces_recruitable_in_a_province_in_one_turn_applies_separately_for_armies_and_navies	1
military_force_building_build_new_development_point_cost_multiplier	2
military_force_building_health_attrition_damage_inflicted	0
military_force_building_health_attrition_percentage_suffered	0
military_force_building_health_casualties_damage_inflicted	1
military_force_building_health_casualties_percentage_suffered	100
military_force_building_health_sabotage_damage_inflicted	0
military_force_building_health_sabotage_percentage_suffered	0
military_force_building_raze_development_point_refund_multiplier	0.8
military_force_building_repair_cost_dev_point_multiplier	0.5
military_force_development_max_development_points	50
military_force_development_point_growth_threshold	20
military_force_morale_attrition	0
military_force_morale_bankruptcy	0
military_force_morale_battle_lost_turns	1
military_force_morale_battle_won	18
military_force_morale_battle_won_relative_strength_mod	3
military_force_morale_battle_won_turns	1
military_force_morale_bettle_lost	-10
military_force_morale_casualties_multiplier	0.25
military_force_morale_chance_general_joins_rebellion	50
military_force_morale_decimated	20
military_force_morale_decimated_turns	1
military_force_morale_faction_leader_death	-5
military_force_morale_faction_leader_death_turns	5
military_force_morale_foriegn_soil	0
military_force_morale_idle	0
military_force_morale_kings_own	0
military_force_morale_looted_settlement_base	5
military_force_morale_looted_settlement_multiplier	1000
military_force_morale_looted_settlement_turns	1
military_force_morale_low_level	40
military_force_morale_max	100
military_force_morale_min	0
military_force_morale_post_waaagh	-10
military_force_morale_post_waaagh_rate_of_decay	-2
military_force_morale_post_waaagh_turns	5
military_force_morale_raiding	1
military_force_morale_released_captives_turns	1
military_force_morale_starting_value	50
military_force_morale_transfer_penalty_turns	0
military_force_morale_very_low_level	20
military_force_morale_waaagh	20
military_force_morale_waaagh_army_budget_scale	1
military_force_morale_waaagh_rate_of_decay	2
military_force_morale_waaagh_required_morale	80
military_force_morale_waaagh_required_num_units	17
military_force_morale_waaagh_turns	5
military_force_slots_auto_repair_damage	0.35
minimum_faction_leader_honour	0
minimum_loyalty	0
minimum_loyalty_interfaction	-10
minimum_population	1000
minimum_population_after_recruitment	0
minimum_religion_support_for_state_religion_change	35
occupation_decision_colonise_conquest_public_order_reduction	0
occupation_decision_colonise_cost	2500
occupation_decision_colonise_cost_increase_for_inverse_proportion_of_max_men	1
occupation_decision_colonise_cost_reduction_percentage_per_unit	5
occupation_decision_colonise_growth_per_unit	0
occupation_decision_colonise_public_order_reduction	0
occupation_decision_colonise_soldiers_percentage_lost	25
occupation_decision_gift_to_another_faction_conquest_public_order_reduction	10
occupation_decision_gift_to_another_faction_public_order_reduction_different_culture	10
occupation_decision_gift_to_another_faction_public_order_reduction_same_culture	5
occupation_decision_liberate_conquest_public_order_reduction	0
occupation_decision_liberate_public_order_reduction	0
occupation_decision_loot_building_damage_percent	40
occupation_decision_loot_building_damage_spread_percent	15
occupation_decision_loot_conquest_public_order_reduction	30
occupation_decision_loot_income_percentage_modifier	-50
occupation_decision_occupation_conquest_public_order_reduction	10
occupation_decision_occupation_public_order_reduction_different_culture	5
occupation_decision_occupation_public_order_reduction_same_culture	3
occupation_decision_raze_building_loot_modifier	0.01
occupation_decision_raze_conquest_public_order_reduction	30
occupation_decision_raze_public_order_reduction	5
occupation_decision_raze_without_occupy_building_loot_modifier	0.75
occupation_decision_raze_without_occupy_conquest_public_order_reduction	0
occupation_decision_raze_without_occupy_income_percentage_modifier	-50
occupation_decision_raze_without_occupy_public_order_reduction	0
occupation_decision_ritual_currency_loot_income_multiplier	0
occupation_decision_sack_building_damage_percent	75
occupation_decision_sack_building_damage_spread_percent	15
occupation_decision_sack_conquest_public_order_reduction	0
occupation_decision_sack_income_percentage_modifier	-50
occupation_decision_sack_public_order_reduction	10
occupation_decision_vassal_public_order_reduction	0
occupation_options_slaves_gained_exponent	0.5
occupation_options_slaves_gained_loot_multiplier	20
occupation_options_slaves_stolen_multiplier	0.66
passive_spying_region_bonus	2
pathfinding_land_to_sea_beach_transition_action_point_cost	2100
pathfinding_sea_to_land_beach_transition_action_point_cost	2100
percent_siege_duration_to_reach_escalation_2_at_max_strength	15
percent_siege_duration_to_reach_escalation_2_at_min_strength	70
plague_force_to_force_battle_infectivity_multiplier	50
plague_force_to_force_infectivity_multiplier	25
plague_force_to_region_infectivity_multiplier	10
plague_region_to_force_infectivity_multiplier	25
plague_region_to_region_infectivity_multiplier	0
plague_sea_to_region_infectivity_multiplier	0
plague_trade_to_region_infectivity_multiplier	0
politician_bodyguard_replenishment_rate	30
politics_intrigue_chance_base	2
politics_ministerial_position_cost_modifier	1
politics_ministerial_position_order_modifier	1
politics_power_ratio_political_contribution	1
politics_senate_support_loss_bankruptcy	5
post_battle_ancillary_steal_chance_base	0
post_battle_ancillary_steal_chance_mod_close_victory	20
post_battle_ancillary_steal_chance_mod_decisive_victory	30
post_battle_ancillary_steal_chance_mod_easy_ai	-100
post_battle_ancillary_steal_chance_mod_easy_player	10
post_battle_ancillary_steal_chance_mod_hard_ai	10
post_battle_ancillary_steal_chance_mod_hard_player	0
post_battle_ancillary_steal_chance_mod_heroic_victory	40
post_battle_ancillary_steal_chance_mod_holder_wounded	18
post_battle_ancillary_steal_chance_mod_legendary_ai	30
post_battle_ancillary_steal_chance_mod_legendary_player	-10
post_battle_ancillary_steal_chance_mod_normal_ai	0
post_battle_ancillary_steal_chance_mod_normal_player	5
post_battle_ancillary_steal_chance_mod_pyrrhic_victory	10
post_battle_ancillary_steal_chance_mod_very_hard_ai	20
post_battle_ancillary_steal_chance_mod_very_hard_player	-5
post_battle_region_debuff_bundle_turns	4
post_battle_ritual_loot_currency_multiplier	0
post_battle_unit_saving_chance_base	20
post_battle_unit_saving_chance_bonus_hero	10
post_battle_unit_saving_chance_bonus_lord	10
post_battle_unit_saving_chance_bonus_per_battle_site_in_province	2
post_battle_unit_saving_chance_bonus_per_state_religion_percentage_in_province	1
post_battle_unit_saving_chance_bonus_per_state_religion_percentage_in_province_mod	10
post_battle_unit_saving_chance_bonus_per_unit_cost	1
post_battle_unit_saving_chance_bonus_per_unit_cost_mod	100
post_battle_unit_saving_chance_bonus_per_unit_level	1
post_battle_unit_saving_replenishment_percentage_base	1
post_battle_unit_saving_replenishment_percentage_bonus_hero	5
post_battle_unit_saving_replenishment_percentage_bonus_lord	5
post_battle_unit_saving_replenishment_percentage_per_battle_site_in_province	5
post_battle_unit_saving_replenishment_percentage_per_state_religion_percentage_in_province	1
post_battle_unit_saving_replenishment_percentage_per_state_religion_percentage_in_province_mod	10
post_battle_unit_saving_replenishment_percentage_per_unit_cost	1
post_battle_unit_saving_replenishment_percentage_per_unit_cost_mod	200
post_battle_unit_saving_replenishment_percentage_per_unit_level	1
post_battle_unit_saving_replenishment_percentage_variance	2
prestige_famous_battle_defeat_value	0
prestige_famous_battle_victory_value	0
prestige_horde_army_value_easy	0
prestige_horde_army_value_hard	0
prestige_horde_army_value_normal	0
prestige_limit_faction_leader_honour	0
prestige_limit_famous_battles	0
prestige_limit_infrastructure	0
prestige_region_value_bonus_original_home_region	2
prestige_region_value_bonus_province_capital	1
prestige_region_value_easy	1
prestige_region_value_hard	1
prestige_region_value_normal	1
prestige_vassal_region_value	1
primary_slot_building_religion_conversion_cost_mod_lower_bound	0.2
primary_slot_building_religion_conversion_cost_mod_upper_bound	1.4
province_development_max_development_points	5
province_development_threshold_cal_points_addition	3
province_development_threshold_calc_points_multiplier	125
province_fertility_abandon_region_penalty_turns	0
province_public_order_max_repression_threshold	-100
province_public_order_max_satisfaction_threshold	100
province_public_order_min_repression_threshold	-100
province_public_order_min_satisfaction_threshold	100
province_public_order_rebellion_defeated_region_not_owned_not_spawned_crackdown	2
province_public_order_rebellion_defeated_region_not_owned_spawned_crackdown	4
province_public_order_rebellion_defeated_region_owned_not_spawned_crackdown	6
province_public_order_rebellion_defeated_region_owned_spawned_crackdown	8
province_slaves_base_public_order_constribution_for_maximum_slaves	-20
province_slaves_base_slave_reduction_per_turn_multiplier_of_maximum	0.1
province_slaves_proportion_of_faction_province_slaves_to_lose_for_rebellion	0.25
province_slaves_skaven_plague_slave_reduction_per_turn_multiplier_per_settlement	2
public_order_banditry_penalty_loot	0
public_order_banditry_penalty_occupy	0
public_order_banditry_penalty_raze	0
public_order_banditry_penalty_sack	0
public_order_banditry_penalty_vassal	0
public_order_happiness_per_turn_in_rebellion	20
public_order_luxury_resource_available_attitude	0
public_order_luxury_resource_production_attitude	0
public_order_luxury_resource_value	50
raid_faction_diplomatic_penalty	10
raid_faction_province_development_penalty	-5
raid_faction_province_public_order_penalty	-3
raid_max_radius	6
raid_own_faction_trade_route_value_mod	0.25
raid_radius	10
raid_settlement_base_value	5
raid_settlement_building_value_exponent	0.6
raid_settlement_gdp_income_percentage	25
raid_settlement_per_army_value_multiplier	1
raid_settlement_raiding_armies_base	0.85
raid_settlement_trade_income_percentage	10
raid_trade_route_value_percentage	10
raiding_slaves_gained_from_gold_multiplier	0.25
raze_main_and_port_building_damage_level	75
rebel_army_additional_units_per_turn_size	4
rebel_budget_factor_army	0.2
rebel_budget_factor_garrison	0.4
rebel_budget_factor_settlement_buildings	350
rebel_budget_factor_settlement_slot	600
rebel_budget_factor_unhappiness	0
rebel_initial_army_size	6
recruitment_point_hard_cap	30
recruitment_population_cost	0
region_building_minimum_cost_to_repair_as_percentage_of_full_cost	0.5
region_gdp_trade_piracy_effect_contested	0
region_gdp_trade_piracy_effect_controlled	0
region_gdp_trade_piracy_effect_shared	0
region_horde_food_consumption	0
region_horde_settled_food_consumption	0
region_raid_food_consumption	0
region_raid_food_consumption_per_unit	0
region_raid_food_proportion_stolen	0.5
region_recent_battle_heavy_damage_food_consumption	0
region_recent_battle_light_damage_food_consumption	0
region_recent_battle_moderate_damage_food_consumption	0
region_sanitation_plague_chance_modifier	12
reinforcement_radius	1
religion_drift	0.1
religion_skaven_additional_uses_granted_10_33	1
religion_skaven_additional_uses_granted_33_66	3
religion_skaven_additional_uses_granted_66_100	5
replenishment_base_land	8
replenishment_base_sea	8
replenishment_bonus_land_can_recruit_unit_owned_region	0
replenishment_bonus_land_garrisoned_in_owned_province	12
replenishment_bonus_land_garrisoned_in_shared_province	8
replenishment_bonus_land_owned_region	0
replenishment_bonus_sea_can_recruit_unit_owned_sea_region	5
replenishment_bonus_sea_garrisoned_in_owned_sea_region	5
replenishment_bonus_sea_garrisoned_in_shared_sea_region	3
replenishment_bonus_sea_owned_sea_region	5
rogue_army_base_spawn_chance	0.1
rogue_army_faction_modifier	2
rogue_army_time_modifier	15
rogue_army_units_to_spawn_per_turn	4
rounds_between_taking_kyoto_and_becoming_shogun	4
rounds_to_hold_office_before_loss_hits_loyalty	4
sea_region_control_status_contested_recruitment_cost_mod	10
sea_region_control_status_controlled_recruitment_cost_mod	-5
sea_region_control_status_shared_recruitment_cost_mod	0
settlement_auto_repair_building_health_points_per_round	0.5
settlement_development_point_cost_secondary_slot_1	1
settlement_development_point_cost_secondary_slot_1_province_capital	1
settlement_development_point_cost_secondary_slot_2	4
settlement_development_point_cost_secondary_slot_2_province_capital	3
settlement_development_point_cost_secondary_slot_3	7
settlement_development_point_cost_secondary_slot_3_province_capital	5
settlement_development_point_cost_secondary_slot_4	9
settlement_development_point_cost_secondary_slot_4_province_capital	7
settlement_loot_value_multiplier_replenish_per_round	0.1
settlement_looting_publicorder_reduction	10
settlement_looting_region_gdp_reduction_turns	10
settlement_looting_surrender_publicorder_reduction	10
settlement_vandalisation_chance	20
settlement_wall_repair_points_base	100
siege_attrition_resistance_turns_base	6
siege_attrition_resistance_turns_port_multiplier	1
siege_escalation_level_1_count_wall_pieces_health_less_than	5
siege_escalation_level_1_total_wall_health_less_than	80
siege_escalation_level_1_wall_pieces_health	50
siege_escalation_level_2_wall_breaches_count	5
state_religion_conversion_bonus	0
storm_creation_chance_modifier_easy	5
storm_creation_chance_modifier_hard	15
storm_creation_chance_modifier_legendary	25
storm_creation_chance_modifier_normal	10
storm_creation_chance_modifier_very_hard	20
storm_creation_chance_percentage_base	5
storm_creation_chance_percentage_present	15
storm_creation_strength_chance_percentage_level_1	30
storm_creation_strength_chance_percentage_level_2	25
storm_creation_strength_chance_percentage_level_3	20
storm_creation_strength_chance_percentage_level_4	15
storm_creation_strength_chance_percentage_level_5	10
storm_dissipation_modifier_easy	5
storm_dissipation_modifier_hard	3
storm_dissipation_modifier_legendary	1
storm_dissipation_modifier_normal	4
storm_dissipation_modifier_percentage_present	1
storm_dissipation_modifier_very_hard	2
storm_move_chance_percentage	50
storm_move_chance_percentage_ai_modifier	2
storm_strength_change_chance_percentage_minusone	20
storm_strength_change_chance_percentage_minustwo	5
storm_strength_change_chance_percentage_plusone	20
storm_strength_change_chance_percentage_plustwo	5
storm_strength_change_chance_percentage_zero	50
tax_efficiency_province_capital_score	1
tax_efficiency_regions_maximum	700
tax_efficiency_regions_middle	600
tax_efficiency_regions_minimum	500
tax_efficiency_result_maximum_reduction	90
tax_efficiency_result_middle_reduction	40
tax_efficiency_result_minimum_reduction	1
threat_reputation_rounds_before_required_war	4
threaten_modifier_ally_fame_multiplier	0.5
town_wealth_growth_discontent_reduction	25
trade_commerce_raiding_maximum_raiding_permille	700
trade_commerce_raiding_reduction_per_ship	0.9
trade_demand_multiplier	0.0005
trade_luxury_resource_strategic_value	400
trade_price_large_change_threshold	10
trade_price_small_change_threshold	5
trade_resource_region_gdp_contribution	0
trade_route_value_accumulator_degredation_proportion	0.9
trade_route_value_accumulator_proportion	0.005
trade_route_value_combined_gdp_proportion	0.75
treasure_hunt_base_success_chance_percentage_growth_per_turn	5
treasure_hunt_maximum_base_success_chance_percentage	100
treasure_hunt_minimum_base_success_chance_percentage	100
treasure_hunt_minimum_turns_between_failure	10
treasure_hunt_minimum_turns_between_success	20
tunnel_interception_chance_base	40
tunnel_interception_chance_tunnelled_last_turn	10
tunnel_interception_range	10
unit_battle_setup_night_battle_attacker_fatigue_penalty	1
unit_battle_setup_night_battle_defender_morale_bonus	-10
unit_first_in_culture_prestige_multiplier	1
unit_minimum_strength	0.05
vampiric_mercenary_recruitment_capacity_casualties_multiplier	0.002
vampiric_mercenary_recruitment_capacity_tier_modifier	1.5
vampiric_mercenary_recruitment_max_capacity	2
vampiric_mercenary_recruitment_max_replenishment_percentage	50
vampiric_mercenary_recruitment_min_capacity	0
vampiric_mercenary_recruitment_min_replenishment_percentage	0
vampiric_mercenary_recruitment_replenishment_casualties_multiplier	0.05
vampiric_mercenary_recruitment_replenishment_tier_modifier	2
vampiric_mercenary_recruitment_value_for_max_capacity	10
vampiric_mercenary_recruitment_value_for_max_replenishment	10
winds_of_magic_change_chance	8
zone_of_control_land_radius	3.75
zone_of_control_naval_radius	5
