scripted_subtitles_tables
2
key	character_for_vo
wh_main_qb_grn_azhag_the_slaughterer_crown_of_sorcery_stage_3_pt_02	
wh_main_qb_grn_azhag_the_slaughterer_crown_of_sorcery_stage_3_pt_03	
wh_main_qb_grn_azhag_the_slaughterer_crown_of_sorcery_stage_3_pt_04	
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_2_pt_01	
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_2_pt_02	
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_2_pt_03	
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_2_pt_04	
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_pt_01	
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_pt_02	
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_pt_03	
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_pt_04	
wh_main_qb_grn_azhag_the_slaughterer_slaggas_slashas_stage_4_pt_05	
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_2_extra	
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_2_pt_01	
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_2_pt_02	
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_2_pt_03	
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_pt_01	
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_pt_02	
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_pt_03	
wh_main_qb_grn_grimgor_ironhide_blood_forged_armour_stage_4_pt_04	
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_black_fire_pass_01	grimgor_ironhide
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_black_fire_pass_02	grimgor_ironhide
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_black_fire_pass_03	grimgor_ironhide
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_black_fire_pass_04	grimgor_ironhide
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_black_fire_pass_05	grimgor_ironhide
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_black_fire_pass_06	grimgor_ironhide
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_pt_01	
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_pt_02	
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_pt_03	
wh_main_qb_grn_grimgor_ironhide_gitsnik_stage_4_pt_04	
wh_main_qb_grn_grimgor_ironhide_intro_subterranean_pt_01	
wh_main_qb_grn_grimgor_ironhide_intro_subterranean_pt_02	
wh_main_qb_grn_grimgor_ironhide_intro_subterranean_pt_03	
wh_main_qb_grn_grimgor_ironhide_intro_subterranean_pt_04	
wh_main_qb_grn_grimgor_ironhide_intro_subterranean_pt_05	
wh_main_qb_vmp_heinrich_kemmler_chaos_tomb_blade_stage_4_pt_01	
wh_main_qb_vmp_heinrich_kemmler_chaos_tomb_blade_stage_4_pt_02	
wh_main_qb_vmp_heinrich_kemmler_chaos_tomb_blade_stage_4_pt_03	
wh_main_qb_vmp_heinrich_kemmler_chaos_tomb_blade_stage_4_pt_04	
wh_main_qb_vmp_heinrich_kemmler_chaos_tomb_blade_stage_4_pt_05	
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_pt_01	
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_pt_02	
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_pt_03	
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_pt_04	
wh_main_qb_vmp_heinrich_kemmler_cloak_of_mists_stage_3_pt_05	
wh_main_qb_vmp_heinrich_kemmler_skull_staff_stage_3_pt_01	
wh_main_qb_vmp_heinrich_kemmler_skull_staff_stage_3_pt_02	
wh_main_qb_vmp_heinrich_kemmler_skull_staff_stage_3_pt_03	
wh_main_qb_vmp_heinrich_kemmler_skull_staff_stage_3_pt_04	
wh_main_qb_vmp_heinrich_kemmler_skull_staff_stage_3_pt_05	
wh_main_qb_vmp_heinrich_kemmler_skull_staff_stage_3_pt_06	
wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_3_pt_01	
wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_3_pt_02	
wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_3_pt_03	
wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_6_pt_01	
wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_6_pt_02	
wh_main_qb_vmp_mannfred_von_carstein_armour_of_templehof_stage_6_pt_03	
wh_main_qb_vmp_mannfred_von_carstein_intro_battle_of_hel_fenn_pt_01	
wh_main_qb_vmp_mannfred_von_carstein_intro_battle_of_hel_fenn_pt_02	
wh_main_qb_vmp_mannfred_von_carstein_intro_battle_of_hel_fenn_pt_03	
wh_main_qb_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_4_pt_01	
wh_main_qb_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_4_pt_02	
wh_main_qb_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_4_pt_03	
wh_pro01_qb_dwf_grombrindal_glimril_scales_pt_01	
wh_pro01_qb_dwf_grombrindal_glimril_scales_pt_02	
wh_pro01_qb_dwf_grombrindal_glimril_scales_pt_03	
wh_pro01_qb_dwf_grombrindal_glimril_scales_pt_04	
wh_pro01_qb_dwf_grombrindal_rune_axe_pt_01	
wh_pro01_qb_dwf_grombrindal_rune_axe_pt_02	
wh_pro01_qb_dwf_grombrindal_rune_axe_pt_03	
wh_pro01_qb_dwf_grombrindal_rune_axe_pt_04	
wh_pro01_qb_dwf_grombrindal_rune_cloak_of_valaya_pt_01	
wh_pro01_qb_dwf_grombrindal_rune_cloak_of_valaya_pt_02	
wh_pro01_qb_dwf_grombrindal_rune_cloak_of_valaya_pt_03	
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_pt_01	
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_pt_02	
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_pt_03	
wh_pro01_qb_dwf_grombrindal_rune_helm_of_zhufbar_pt_04	
wh_pro02_qb_vmp_isabella_blood_chalice_of_bathori_ancient_tomb_pt_01	
wh_pro02_qb_vmp_isabella_blood_chalice_of_bathori_ancient_tomb_pt_02	
wh_pro02_qb_vmp_isabella_blood_chalice_of_bathori_ancient_tomb_pt_03	
wh_pro02_qb_vmp_isabella_blood_chalice_of_bathori_ancient_tomb_pt_04	
wh_pro02_qb_vmp_isabella_blood_chalice_of_bathori_dead_wood_pt_01	
wh_pro02_qb_vmp_isabella_blood_chalice_of_bathori_dead_wood_pt_02	
wh_pro02_qb_vmp_isabella_blood_chalice_of_bathori_dead_wood_pt_03	
wh_pro02_qb_vmp_isabella_blood_chalice_of_bathori_dead_wood_pt_04	
