character_skill_level_to_ancillaries_junctions_tables
1
granted_ancillary	skill	level
wh_main_anc_mount_vmp_wight_king_barded_skeletal_steed	wh_main_skill_vmp_champion_unique_wight_king_skeletal_steed	2
wh_main_anc_mount_vmp_wight_king_skeletal_steed	wh_main_skill_vmp_champion_unique_wight_king_skeletal_steed	1
wh_main_anc_mount_vmp_vampire_barded_nightmare	wh_main_skill_vmp_dignitary_unique_vampire_barded_nightmare	1
wh_main_anc_mount_vmp_vampire_hellsteed	wh_main_skill_vmp_dignitary_unique_vampire_hellsteed	1
wh_main_anc_mount_vmp_mannfred_barded_nightmare	wh_main_skill_vmp_lord_unique_mannfred_barded_nightmare	1
wh_main_anc_mount_vmp_mannfred_hellsteed	wh_main_skill_vmp_lord_unique_mannfred_hellsteed	1
wh_main_anc_mount_vmp_mannfred_zombie_dragon	wh_main_skill_vmp_lord_unique_mannfred_zombie_dragon	1
wh_main_anc_mount_vmp_master_necromancer_barded_nightmare	wh_main_skill_vmp_lord_unique_necromancer_barded_nightmare	1
wh_main_anc_mount_vmp_master_necromancer_hellsteed	wh_main_skill_vmp_lord_unique_necromancer_hellsteed	1
wh_main_anc_mount_vmp_vampire_lord_barded_nightmare	wh_main_skill_vmp_lord_unique_vampire_lord_barded_nightmare	1
wh_main_anc_mount_vmp_vampire_lord_hellsteed	wh_main_skill_vmp_lord_unique_vampire_lord_hellsteed	1
wh_main_anc_mount_vmp_vampire_lord_zombie_dragon	wh_main_skill_vmp_lord_unique_vampire_lord_zombie_dragon	1
wh_main_anc_mount_vmp_necromancer_nightmare	wh_main_skill_vmp_wizard_unique_necromancer_nightmare	1
wh_pro01_anc_rune_rune_of_fury	wh_pro01_anc_rune_rune_of_fury	1
wh_pro01_anc_rune_rune_of_might	wh_pro01_anc_rune_rune_of_might	1
wh_pro01_anc_rune_rune_of_parrying	wh_pro01_anc_rune_rune_of_parrying	1
wh_pro01_anc_rune_rune_of_striking	wh_pro01_anc_rune_rune_of_striking	1
wh_pro01_anc_armour_armour_of_glimril_scales	wh_pro01_skill_dwf_lord_unique_grombrindal_armour_of_glimril_scales	1
wh_pro01_anc_talisman_cloak_of_valaya	wh_pro01_skill_dwf_lord_unique_grombrindal_cloak_of_valaya	1
wh_pro01_anc_enchanted_item_rune_helm_of_zhufbar	wh_pro01_skill_dwf_lord_unique_grombrindal_rune_helm_of_zhufbar	1
wh_pro01_anc_weapon_the_rune_axe_of_grombrindal	wh_pro01_skill_dwf_lord_unique_grombrindal_the_rune_axe_of_grombrindal	1
wh_pro02_anc_mount_vmp_isabella_barded_nightmare	wh_pro02_skill_vmp_lord_unique_isabella_barded_nightmare	1
wh_pro02_anc_mount_vmp_isabella_hellsteed	wh_pro02_skill_vmp_lord_unique_isabella_hellsteed	1
