effect_bonus_value_unit_ability_junctions_tables
0
effect	bonus_value_id	unit_ability
wh2_main_effect_magic_dark_miscast_reduction_bladewind_upgraded	miscast_percentage_mod	wh2_main_spell_dark_magic_bladewind_upgraded
wh2_main_effect_magic_dark_miscast_reduction_chillwind_upgraded	miscast_percentage_mod	wh2_main_spell_dark_magic_chillwind_upgraded
wh2_main_effect_magic_dark_miscast_reduction_doombolt_upgraded	miscast_percentage_mod	wh2_main_spell_dark_magic_doombolt_upgraded
wh2_main_effect_magic_dark_miscast_reduction_word_of_pain_upgraded	miscast_percentage_mod	wh2_main_spell_dark_magic_word_of_pain_upgraded
wh2_main_effect_magic_dark_reduce_wom_cost_bladewind_upgraded	cost_mod	wh2_main_spell_dark_magic_bladewind_upgraded
wh2_main_effect_magic_dark_reduce_wom_cost_bladewind	cost_mod	wh2_main_spell_dark_magic_bladewind
wh2_main_effect_magic_dark_reduce_wom_cost_chillwind_upgraded	cost_mod	wh2_main_spell_dark_magic_chillwind_upgraded
wh2_main_effect_magic_dark_reduce_wom_cost_chillwind	cost_mod	wh2_main_spell_dark_magic_chillwind
wh2_main_effect_magic_dark_reduce_wom_cost_doombolt_upgraded	cost_mod	wh2_main_spell_dark_magic_doombolt_upgraded
wh2_main_effect_magic_dark_reduce_wom_cost_doombolt	cost_mod	wh2_main_spell_dark_magic_doombolt
wh2_main_effect_magic_dark_reduce_wom_cost_power_of_darkness	cost_mod	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_effect_magic_dark_reduce_wom_cost_soulstealer	cost_mod	wh2_main_spell_dark_magic_soul_stealer
wh2_main_effect_magic_dark_reduce_wom_cost_word_of_pain_upgraded	cost_mod	wh2_main_spell_dark_magic_word_of_pain_upgraded
wh2_main_effect_magic_dark_reduce_wom_cost_word_of_pain	cost_mod	wh2_main_spell_dark_magic_word_of_pain
wh2_main_effect_magic_death_enable_aspect_of_the_dreadknight_upgraded	enable_overchage	wh_main_spell_death_aspect_of_the_dreadknight
wh2_main_effect_magic_death_enable_aspect_of_the_dreadknight_upgraded	enable	wh_main_spell_death_aspect_of_the_dreadknight
wh2_main_effect_magic_death_enable_doom_and_darkness_upgraded	enable_overchage	wh_main_spell_death_doom_and_darkness
wh2_main_effect_magic_death_enable_doom_and_darkness_upgraded	enable	wh_main_spell_death_doom_and_darkness
wh2_main_effect_magic_death_enable_soulblight_upgraded	enable_overchage	wh_main_spell_death_soulblight
wh2_main_effect_magic_death_enable_soulblight_upgraded	enable	wh_main_spell_death_soulblight
wh2_main_effect_magic_death_enable_spirit_leech_upgraded	enable_overchage	wh_main_spell_death_spirit_leech
wh2_main_effect_magic_death_enable_spirit_leech_upgraded	enable	wh_main_spell_death_spirit_leech
wh2_main_effect_magic_death_enable_the_purple_sun_of_xereus_upgraded	enable_overchage	wh_main_spell_death_the_purple_sun_of_xereus
wh2_main_effect_magic_death_enable_the_purple_sun_of_xereus_upgraded	enable	wh_main_spell_death_the_purple_sun_of_xereus
wh2_main_effect_magic_death_miscast_reduction_aspect_of_the_dreadknight_upgraded	miscast_percentage_mod	wh_main_spell_death_aspect_of_the_dreadknight_upgraded
wh2_main_effect_magic_death_miscast_reduction_doom_and_darkness_upgraded	miscast_percentage_mod	wh_main_spell_death_doom_and_darkness_upgraded
wh2_main_effect_magic_death_miscast_reduction_soulblight_upgraded	miscast_percentage_mod	wh_main_spell_death_soulblight_upgraded
wh2_main_effect_magic_death_miscast_reduction_spirit_leech_upgraded	miscast_percentage_mod	wh_main_spell_death_spirit_leech_upgraded
wh2_main_effect_magic_death_miscast_reduction_the_purple_sun_of_xereus_upgraded	miscast_percentage_mod	wh_main_spell_death_the_purple_sun_of_xereus_upgraded
wh2_main_effect_magic_death_reduce_wom_cost_aspect_of_the_dreadknight_upgraded	cost_mod	wh_main_spell_death_aspect_of_the_dreadknight_upgraded
wh2_main_effect_magic_death_reduce_wom_cost_aspect_of_the_dreadknight	cost_mod	wh_main_spell_death_aspect_of_the_dreadknight
wh2_main_effect_magic_death_reduce_wom_cost_doom_and_darkness_upgraded	cost_mod	wh_main_spell_death_doom_and_darkness_upgraded
wh2_main_effect_magic_death_reduce_wom_cost_doom_and_darkness	cost_mod	wh_main_spell_death_doom_and_darkness
wh2_main_effect_magic_death_reduce_wom_cost_soulblight_upgraded	cost_mod	wh_main_spell_death_soulblight_upgraded
wh2_main_effect_magic_death_reduce_wom_cost_soulblight	cost_mod	wh_main_spell_death_soulblight
wh2_main_effect_magic_death_reduce_wom_cost_spirit_leech_upgraded	cost_mod	wh_main_spell_death_spirit_leech_upgraded
wh2_main_effect_magic_death_reduce_wom_cost_spirit_leech	cost_mod	wh_main_spell_death_spirit_leech
wh2_main_effect_magic_death_reduce_wom_cost_the_fate_of_bjuna	cost_mod	wh_main_spell_death_the_fate_of_bjuna
wh2_main_effect_magic_death_reduce_wom_cost_the_purple_sun_of_xereus_upgraded	cost_mod	wh_main_spell_death_the_purple_sun_of_xereus_upgraded
wh2_main_effect_magic_death_reduce_wom_cost_the_purple_sun_of_xereus	cost_mod	wh_main_spell_death_the_purple_sun_of_xereus
wh2_main_effect_magic_fire_enable_fireball_upgraded	enable_overchage	wh_main_spell_fire_fireball
wh2_main_effect_magic_fire_enable_fireball_upgraded	enable	wh_main_spell_fire_fireball
wh2_main_effect_magic_fire_enable_flame_storm_upgraded	enable_overchage	wh_main_spell_fire_flame_storm
wh2_main_effect_magic_fire_enable_flame_storm_upgraded	enable	wh_main_spell_fire_flame_storm
wh2_main_effect_magic_fire_enable_flaming_sword_of_rhuin_upgraded	enable_overchage	wh_main_spell_fire_flaming_sword_of_rhuin
wh2_main_effect_magic_fire_enable_flaming_sword_of_rhuin_upgraded	enable	wh_main_spell_fire_flaming_sword_of_rhuin
wh2_main_effect_magic_fire_enable_piercing_bolts_of_burning_upgraded	enable_overchage	wh_main_spell_fire_piercing_bolts_of_burning
wh2_main_effect_magic_fire_enable_piercing_bolts_of_burning_upgraded	enable	wh_main_spell_fire_piercing_bolts_of_burning
wh2_main_effect_magic_fire_enable_the_burning_head_upgraded	enable_overchage	wh_main_spell_fire_the_burning_head
wh2_main_effect_magic_fire_enable_the_burning_head_upgraded	enable	wh_main_spell_fire_the_burning_head
wh2_main_effect_magic_fire_miscast_reduction_fireball_upgraded	miscast_percentage_mod	wh_main_spell_fire_fireball_upgraded
wh2_main_effect_magic_fire_miscast_reduction_flame_storm_upgraded	miscast_percentage_mod	wh_main_spell_fire_flame_storm_upgraded
wh2_main_effect_magic_fire_miscast_reduction_flaming_sword_of_rhuin_upgraded	miscast_percentage_mod	wh_main_spell_fire_flaming_sword_of_rhuin_upgraded
wh2_main_effect_magic_fire_miscast_reduction_piercing_bolts_of_burning_upgraded	miscast_percentage_mod	wh_main_spell_fire_piercing_bolts_of_burning_upgraded
wh2_main_effect_magic_fire_miscast_reduction_the_burning_head_upgraded	miscast_percentage_mod	wh_main_spell_fire_the_burning_head_upgraded
wh2_main_effect_magic_fire_reduce_wom_cost_cascading_fire_cloak	cost_mod	wh_main_spell_fire_cascading_fire_cloak
wh2_main_effect_magic_fire_reduce_wom_cost_fireball_upgraded	cost_mod	wh_main_spell_fire_fireball_upgraded
wh2_main_effect_magic_fire_reduce_wom_cost_fireball	cost_mod	wh_main_spell_fire_fireball
wh2_main_effect_magic_fire_reduce_wom_cost_flame_storm_upgraded	cost_mod	wh_main_spell_fire_flame_storm_upgraded
wh2_main_effect_magic_fire_reduce_wom_cost_flame_storm	cost_mod	wh_main_spell_fire_flame_storm
wh2_main_effect_magic_fire_reduce_wom_cost_flaming_sword_of_rhuin_upgraded	cost_mod	wh_main_spell_fire_flaming_sword_of_rhuin_upgraded
wh2_main_effect_magic_fire_reduce_wom_cost_flaming_sword_of_rhuin	cost_mod	wh_main_spell_fire_flaming_sword_of_rhuin
wh2_main_effect_magic_fire_reduce_wom_cost_piercing_bolts_of_burning_upgraded	cost_mod	wh_main_spell_fire_piercing_bolts_of_burning_upgraded
wh2_main_effect_magic_fire_reduce_wom_cost_piercing_bolts_of_burning	cost_mod	wh_main_spell_fire_piercing_bolts_of_burning
wh2_main_effect_magic_fire_reduce_wom_cost_the_burning_head_upgraded	cost_mod	wh_main_spell_fire_the_burning_head_upgraded
wh2_main_effect_magic_fire_reduce_wom_cost_the_burning_head	cost_mod	wh_main_spell_fire_the_burning_head
wh2_main_effect_magic_heavens_enable_comet_of_casandora_upgraded	enable_overchage	wh_main_spell_heavens_comet_of_casandora
wh2_main_effect_magic_heavens_enable_comet_of_casandora_upgraded	enable	wh_main_spell_heavens_comet_of_casandora
wh2_main_effect_magic_heavens_enable_curse_of_the_midnight_wind_upgraded	enable_overchage	wh_main_spell_heavens_curse_of_the_midnight_wind
wh2_main_effect_magic_heavens_enable_curse_of_the_midnight_wind_upgraded	enable	wh_main_spell_heavens_curse_of_the_midnight_wind
wh2_main_effect_magic_heavens_enable_harmonic_convergence_upgraded	enable_overchage	wh_main_spell_heavens_harmonic_convergence
wh2_main_effect_magic_heavens_enable_harmonic_convergence_upgraded	enable	wh_main_spell_heavens_harmonic_convergence
wh2_main_effect_magic_heavens_enable_urannons_thunderbolt_upgraded	enable_overchage	wh_main_spell_heavens_urannons_thunderbolt
wh2_main_effect_magic_heavens_enable_urannons_thunderbolt_upgraded	enable	wh_main_spell_heavens_urannons_thunderbolt
wh2_main_effect_magic_heavens_enable_wind_blast_upgraded	enable_overchage	wh_main_spell_heavens_wind_blast
wh2_main_effect_magic_heavens_enable_wind_blast_upgraded	enable	wh_main_spell_heavens_wind_blast
wh2_main_effect_magic_heavens_miscast_reduction_comet_of_casandora_upgraded	miscast_percentage_mod	wh_main_spell_heavens_comet_of_casandora_upgraded
wh2_main_effect_magic_heavens_miscast_reduction_curse_of_the_midnight_wind_upgraded	miscast_percentage_mod	wh_main_spell_heavens_curse_of_the_midnight_wind_upgraded
wh2_main_effect_magic_heavens_miscast_reduction_harmonic_convergence_upgraded	miscast_percentage_mod	wh_main_spell_heavens_harmonic_convergence_upgraded
wh2_main_effect_magic_heavens_miscast_reduction_urannons_thunderbolt_upgraded	miscast_percentage_mod	wh_main_spell_heavens_urannons_thunderbolt_upgraded
wh2_main_effect_magic_heavens_miscast_reduction_wind_blast_upgraded	miscast_percentage_mod	wh_main_spell_heavens_wind_blast_upgraded
wh2_main_effect_magic_heavens_reduce_wom_cost_chain_lightning	cost_mod	wh_main_spell_heavens_chain_lightning
wh2_main_effect_magic_heavens_reduce_wom_cost_comet_of_casandora_upgraded	cost_mod	wh_main_spell_heavens_comet_of_casandora_upgraded
wh2_main_effect_magic_heavens_reduce_wom_cost_comet_of_casandora	cost_mod	wh_main_spell_heavens_comet_of_casandora
wh2_main_effect_magic_heavens_reduce_wom_cost_curse_of_the_midnight_wind_upgraded	cost_mod	wh_main_spell_heavens_curse_of_the_midnight_wind_upgraded
wh2_main_effect_magic_heavens_reduce_wom_cost_curse_of_the_midnight_wind	cost_mod	wh_main_spell_heavens_curse_of_the_midnight_wind
wh2_main_effect_magic_heavens_reduce_wom_cost_harmonic_convergence_upgraded	cost_mod	wh_main_spell_heavens_harmonic_convergence_upgraded
wh2_main_effect_magic_heavens_reduce_wom_cost_harmonic_convergence	cost_mod	wh_main_spell_heavens_harmonic_convergence
wh2_main_effect_magic_heavens_reduce_wom_cost_urannons_thunderbolt_upgraded	cost_mod	wh_main_spell_heavens_urannons_thunderbolt_upgraded
wh2_main_effect_magic_heavens_reduce_wom_cost_urannons_thunderbolt	cost_mod	wh_main_spell_heavens_urannons_thunderbolt
wh2_main_effect_magic_heavens_reduce_wom_cost_wind_blast_upgraded	cost_mod	wh_main_spell_heavens_wind_blast_upgraded
wh2_main_effect_magic_heavens_reduce_wom_cost_wind_blast	cost_mod	wh_main_spell_heavens_wind_blast
wh2_main_effect_magic_high_cooldown_apotheosis	recharge_mod	wh2_main_spell_high_magic_apotheosis
wh2_main_effect_magic_high_cooldown_arcane_unforging	recharge_mod	wh2_main_spell_high_magic_arcane_unforging
wh2_main_effect_magic_high_cooldown_fiery_convocation	recharge_mod	wh2_main_spell_high_magic_fiery_convocation
wh2_main_effect_magic_high_cooldown_hand_of_glory	recharge_mod	wh2_main_spell_high_magic_hand_of_glory
wh2_main_effect_magic_high_cooldown_soul_quench	recharge_mod	wh2_main_spell_high_magic_soul_quench
wh2_main_effect_magic_high_cooldown_tempest	recharge_mod	wh2_main_spell_high_magic_tempest
wh2_main_effect_magic_high_enable_apotheosis_upgraded	enable_overchage	wh2_main_spell_high_magic_apotheosis
wh2_main_effect_magic_high_enable_apotheosis_upgraded	enable	wh2_main_spell_high_magic_apotheosis
wh2_main_effect_magic_high_enable_apotheosis	enable	wh2_main_spell_high_magic_apotheosis
wh2_main_effect_magic_high_enable_arcane_unforging_upgraded	enable_overchage	wh2_main_spell_high_magic_arcane_unforging
wh2_main_effect_magic_high_enable_arcane_unforging_upgraded	enable	wh2_main_spell_high_magic_arcane_unforging
wh2_main_effect_magic_high_enable_arcane_unforging	enable	wh2_main_spell_high_magic_arcane_unforging
wh2_main_effect_magic_high_enable_fiery_convocation_upgraded	enable_overchage	wh2_main_spell_high_magic_fiery_convocation
wh2_main_effect_magic_high_enable_fiery_convocation_upgraded	enable	wh2_main_spell_high_magic_fiery_convocation
wh2_main_effect_magic_high_enable_fiery_convocation	enable	wh2_main_spell_high_magic_fiery_convocation
wh2_main_effect_magic_high_enable_hand_of_glory_upgraded	enable_overchage	wh2_main_spell_high_magic_hand_of_glory
wh2_main_effect_magic_high_enable_hand_of_glory_upgraded	enable	wh2_main_spell_high_magic_hand_of_glory
wh2_main_effect_magic_high_enable_hand_of_glory	enable	wh2_main_spell_high_magic_hand_of_glory
wh2_main_effect_magic_high_enable_soul_quench_upgraded	enable_overchage	wh2_main_spell_high_magic_soul_quench
wh2_main_effect_magic_high_enable_soul_quench_upgraded	enable	wh2_main_spell_high_magic_soul_quench
wh2_main_effect_magic_high_enable_soul_quench	enable	wh2_main_spell_high_magic_soul_quench
wh2_main_effect_magic_high_enable_tempest_upgraded	enable_overchage	wh2_main_spell_high_magic_tempest
wh2_main_effect_magic_high_enable_tempest_upgraded	enable	wh2_main_spell_high_magic_tempest
wh2_main_effect_magic_high_enable_tempest	enable	wh2_main_spell_high_magic_tempest
wh2_main_effect_magic_high_miscast_reduction_apotheosis_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_apotheosis_upgraded
wh2_main_effect_magic_high_miscast_reduction_arcane_unforging_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_arcane_unforging_upgraded
wh2_main_effect_magic_high_miscast_reduction_fiery_convocation_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_fiery_convocation_upgraded
wh2_main_effect_magic_high_miscast_reduction_hand_of_glory_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_hand_of_glory_upgraded
wh2_main_effect_magic_high_miscast_reduction_soul_quench_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_soul_quench_upgraded
wh2_main_effect_magic_high_miscast_reduction_tempest_upgraded	miscast_percentage_mod	wh2_main_spell_high_magic_tempest_upgraded
wh2_main_effect_magic_high_reduce_wom_cost_apotheosis_upgraded	cost_mod	wh2_main_spell_high_magic_apotheosis_upgraded
wh2_main_effect_magic_high_reduce_wom_cost_apotheosis	cost_mod	wh2_main_spell_high_magic_apotheosis
wh2_main_effect_magic_high_reduce_wom_cost_arcane_unforging_upgraded	cost_mod	wh2_main_spell_high_magic_arcane_unforging_upgraded
wh2_main_effect_magic_high_reduce_wom_cost_arcane_unforging	cost_mod	wh2_main_spell_high_magic_arcane_unforging
wh2_main_effect_magic_high_reduce_wom_cost_fiery_convocation_upgraded	cost_mod	wh2_main_spell_high_magic_fiery_convocation_upgraded
wh2_main_effect_magic_high_reduce_wom_cost_fiery_convocation	cost_mod	wh2_main_spell_high_magic_fiery_convocation
wh2_main_effect_magic_high_reduce_wom_cost_hand_of_glory_upgraded	cost_mod	wh2_main_spell_high_magic_hand_of_glory_upgraded
wh2_main_effect_magic_high_reduce_wom_cost_hand_of_glory	cost_mod	wh2_main_spell_high_magic_hand_of_glory
wh2_main_effect_magic_high_reduce_wom_cost_soul_quench_upgraded	cost_mod	wh2_main_spell_high_magic_soul_quench_upgraded
wh2_main_effect_magic_high_reduce_wom_cost_soul_quench	cost_mod	wh2_main_spell_high_magic_soul_quench
wh2_main_effect_magic_high_reduce_wom_cost_tempest_upgraded	cost_mod	wh2_main_spell_high_magic_tempest_upgraded
wh2_main_effect_magic_high_reduce_wom_cost_tempest	cost_mod	wh2_main_spell_high_magic_tempest
wh2_main_effect_magic_life_enable_dwellers_below_upgraded	enable_overchage	wh_dlc05_spell_life_the_dwellers_below
wh2_main_effect_magic_life_enable_dwellers_below_upgraded	enable	wh_dlc05_spell_life_the_dwellers_below
wh2_main_effect_magic_life_enable_earth_blood_upgraded	enable_overchage	wh_dlc05_spell_life_earth_blood
wh2_main_effect_magic_life_enable_earth_blood_upgraded	enable	wh_dlc05_spell_life_earth_blood
wh2_main_effect_magic_life_enable_flesh_to_stone_upgraded	enable_overchage	wh_dlc05_spell_life_flesh_to_stone
wh2_main_effect_magic_life_enable_flesh_to_stone_upgraded	enable	wh_dlc05_spell_life_flesh_to_stone
wh2_main_effect_magic_life_enable_regrowth_upgraded	enable_overchage	wh_dlc05_spell_life_regrowth
wh2_main_effect_magic_life_enable_regrowth_upgraded	enable	wh_dlc05_spell_life_regrowth
wh2_main_effect_magic_life_enable_shield_of_thorns_upgraded	enable_overchage	wh_dlc05_spell_life_shield_of_thorns
wh2_main_effect_magic_life_enable_shield_of_thorns_upgraded	enable	wh_dlc05_spell_life_shield_of_thorns
wh2_main_effect_magic_life_miscast_reduction_dwellers_below_upgraded	miscast_percentage_mod	wh_dlc05_spell_life_the_dwellers_below_upgraded
wh2_main_effect_magic_life_miscast_reduction_earth_blood_upgraded	miscast_percentage_mod	wh_dlc05_spell_life_earth_blood_upgraded
wh2_main_effect_magic_life_miscast_reduction_flesh_to_stone_upgraded	miscast_percentage_mod	wh_dlc05_spell_life_flesh_to_stone_upgraded
wh2_main_effect_magic_life_miscast_reduction_regrowth_upgraded	miscast_percentage_mod	wh_dlc05_spell_life_regrowth_upgraded
wh2_main_effect_magic_life_miscast_reduction_shield_of_thorns_upgraded	miscast_percentage_mod	wh_dlc05_spell_life_shield_of_thorns_upgraded
wh2_main_effect_magic_life_reduce_wom_awakening_of_the_wood	cost_mod	wh_dlc05_spell_life_awakening_of_the_wood
wh2_main_effect_magic_life_reduce_wom_dwellers_below_upgraded	cost_mod	wh_dlc05_spell_life_the_dwellers_below_upgraded
wh2_main_effect_magic_life_reduce_wom_dwellers_below	cost_mod	wh_dlc05_spell_life_the_dwellers_below
wh2_main_effect_magic_life_reduce_wom_earth_blood_upgraded	cost_mod	wh_dlc05_spell_life_earth_blood_upgraded
wh2_main_effect_magic_life_reduce_wom_earth_blood	cost_mod	wh_dlc05_spell_life_earth_blood
wh2_main_effect_magic_life_reduce_wom_flesh_to_stone_upgraded	cost_mod	wh_dlc05_spell_life_flesh_to_stone_upgraded
wh2_main_effect_magic_life_reduce_wom_flesh_to_stone	cost_mod	wh_dlc05_spell_life_flesh_to_stone
wh2_main_effect_magic_life_reduce_wom_regrowth_upgraded	cost_mod	wh_dlc05_spell_life_regrowth_upgraded
wh2_main_effect_magic_life_reduce_wom_regrowth	cost_mod	wh_dlc05_spell_life_regrowth
wh2_main_effect_magic_life_reduce_wom_shield_of_thorns_upgraded	cost_mod	wh_dlc05_spell_life_shield_of_thorns_upgraded
wh2_main_effect_magic_life_reduce_wom_shield_of_thorns	cost_mod	wh_dlc05_spell_life_shield_of_thorns
wh2_main_effect_magic_light_enable_banishment_upgraded	enable_overchage	wh_main_spell_light_banishment
wh2_main_effect_magic_light_enable_banishment_upgraded	enable	wh_main_spell_light_banishment
wh2_main_effect_magic_light_enable_bironas_timewarp_upgraded	enable_overchage	wh_main_spell_light_bironas_timewarp
wh2_main_effect_magic_light_enable_bironas_timewarp_upgraded	enable	wh_main_spell_light_bironas_timewarp
wh2_main_effect_magic_light_enable_light_of_battle_upgraded	enable_overchage	wh_main_spell_light_light_of_battle
wh2_main_effect_magic_light_enable_light_of_battle_upgraded	enable	wh_main_spell_light_light_of_battle
wh2_main_effect_magic_light_enable_net_of_amyntok_upgraded	enable_overchage	wh_main_spell_light_net_of_amyntok
wh2_main_effect_magic_light_enable_net_of_amyntok_upgraded	enable	wh_main_spell_light_net_of_amyntok
wh2_main_effect_magic_light_enable_phas_protection_upgraded	enable_overchage	wh_main_spell_light_phas_protection
wh2_main_effect_magic_light_enable_phas_protection_upgraded	enable	wh_main_spell_light_phas_protection
wh2_main_effect_magic_light_enable_shems_burning_gaze_upgraded	enable_overchage	wh_main_spell_light_shems_burning_gaze
wh2_main_effect_magic_light_enable_shems_burning_gaze_upgraded	enable	wh_main_spell_light_shems_burning_gaze
wh2_main_effect_magic_light_miscast_reduction_banishment_upgraded	miscast_percentage_mod	wh_main_spell_light_banishment_upgraded
wh2_main_effect_magic_light_miscast_reduction_bironas_timewarp_upgraded	miscast_percentage_mod	wh_main_spell_light_bironas_timewarp_upgraded
wh2_main_effect_magic_light_miscast_reduction_light_of_battle_upgraded	miscast_percentage_mod	wh_main_spell_light_light_of_battle_upgraded
wh2_main_effect_magic_light_miscast_reduction_net_of_amyntok_upgraded	miscast_percentage_mod	wh_main_spell_light_net_of_amyntok_upgraded
wh2_main_effect_magic_light_miscast_reduction_phas_protection_upgraded	miscast_percentage_mod	wh_main_spell_light_phas_protection_upgraded
wh2_main_effect_magic_light_miscast_reduction_shems_burning_gaze_upgraded	miscast_percentage_mod	wh_main_spell_light_shems_burning_gaze_upgraded
wh2_main_effect_magic_light_reduce_wom_cost_banishment_upgraded	cost_mod	wh_main_spell_light_banishment_upgraded
wh2_main_effect_magic_light_reduce_wom_cost_banishment	cost_mod	wh_main_spell_light_banishment
wh2_main_effect_magic_light_reduce_wom_cost_bironas_timewarp_upgraded	cost_mod	wh_main_spell_light_bironas_timewarp_upgraded
wh2_main_effect_magic_light_reduce_wom_cost_bironas_timewarp	cost_mod	wh_main_spell_light_bironas_timewarp
wh2_main_effect_magic_light_reduce_wom_cost_light_of_battle_upgraded	cost_mod	wh_main_spell_light_light_of_battle_upgraded
wh2_main_effect_magic_light_reduce_wom_cost_light_of_battle	cost_mod	wh_main_spell_light_light_of_battle
wh2_main_effect_magic_light_reduce_wom_cost_net_of_amyntok_upgraded	cost_mod	wh_main_spell_light_net_of_amyntok_upgraded
wh2_main_effect_magic_light_reduce_wom_cost_net_of_amyntok	cost_mod	wh_main_spell_light_net_of_amyntok
wh2_main_effect_magic_light_reduce_wom_cost_phas_protection_upgraded	cost_mod	wh_main_spell_light_phas_protection_upgraded
wh2_main_effect_magic_light_reduce_wom_cost_phas_protection	cost_mod	wh_main_spell_light_phas_protection
wh2_main_effect_magic_light_reduce_wom_cost_shems_burning_gaze_upgraded	cost_mod	wh_main_spell_light_shems_burning_gaze_upgraded
wh2_main_effect_magic_light_reduce_wom_cost_shems_burning_gaze	cost_mod	wh_main_spell_light_shems_burning_gaze
wh2_main_effect_magic_lil_waaagh_enable_curse_of_da_bad_moon_upgraded	enable_overchage	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
wh2_main_effect_magic_lil_waaagh_enable_curse_of_da_bad_moon_upgraded	enable	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
wh2_main_effect_magic_lil_waaagh_enable_night_shroud_upgraded	enable_overchage	wh_main_spell_lil_waaagh_night_shroud
wh2_main_effect_magic_lil_waaagh_enable_night_shroud_upgraded	enable	wh_main_spell_lil_waaagh_night_shroud
wh2_main_effect_magic_lil_waaagh_enable_vindictive_glare_upgraded	enable_overchage	wh_main_spell_lil_waaagh_vindictive_glare
wh2_main_effect_magic_lil_waaagh_enable_vindictive_glare_upgraded	enable	wh_main_spell_lil_waaagh_vindictive_glare
wh2_main_effect_magic_lil_waaagh_miscast_reduction_curse_of_da_bad_moon_upgraded	miscast_percentage_mod	wh_main_spell_lil_waaagh_curse_of_da_bad_moon_upgraded
wh2_main_effect_magic_lil_waaagh_miscast_reduction_night_shroud_upgraded	miscast_percentage_mod	wh_main_spell_lil_waaagh_night_shroud_upgraded
wh2_main_effect_magic_lil_waaagh_miscast_reduction_vindictive_glare_upgraded	miscast_percentage_mod	wh_main_spell_lil_waaagh_vindictive_glare_upgraded
wh2_main_effect_magic_lil_waaagh_reduce_wom_cost_curse_of_da_bad_moon_upgraded	cost_mod	wh_main_spell_lil_waaagh_curse_of_da_bad_moon_upgraded
wh2_main_effect_magic_lil_waaagh_reduce_wom_cost_curse_of_da_bad_moon	cost_mod	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
wh2_main_effect_magic_lil_waaagh_reduce_wom_cost_gorkll_fix_it	cost_mod	wh_main_spell_lil_waaagh_gorkll_fix_it
wh2_main_effect_magic_lil_waaagh_reduce_wom_cost_itchy_nuisance	cost_mod	wh_main_spell_lil_waaagh_itchy_nuisance
wh2_main_effect_magic_lil_waaagh_reduce_wom_cost_night_shroud_upgraded	cost_mod	wh_main_spell_lil_waaagh_night_shroud_upgraded
wh2_main_effect_magic_lil_waaagh_reduce_wom_cost_night_shroud	cost_mod	wh_main_spell_lil_waaagh_night_shroud
wh2_main_effect_magic_lil_waaagh_reduce_wom_cost_sneaky_stabbin	cost_mod	wh_main_spell_lil_waaagh_sneaky_stabbin
wh2_main_effect_magic_lil_waaagh_reduce_wom_cost_vindictive_glare_upgraded	cost_mod	wh_main_spell_lil_waaagh_vindictive_glare_upgraded
wh2_main_effect_magic_lil_waaagh_reduce_wom_cost_vindictive_glare	cost_mod	wh_main_spell_lil_waaagh_vindictive_glare
wh2_main_effect_magic_metal_enable_final_transmutation_upgraded	enable_overchage	wh_main_spell_metal_final_transmutation
wh2_main_effect_magic_metal_enable_final_transmutation_upgraded	enable	wh_main_spell_metal_final_transmutation
wh2_main_effect_magic_metal_enable_gehennas_golden_hounds_upgraded	enable_overchage	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_effect_magic_metal_enable_gehennas_golden_hounds_upgraded	enable	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_effect_magic_metal_enable_glittering_robe_upgraded	enable_overchage	wh_main_spell_metal_glittering_robe
wh2_main_effect_magic_metal_enable_glittering_robe_upgraded	enable	wh_main_spell_metal_glittering_robe
wh2_main_effect_magic_metal_enable_plague_of_rust_upgraded	enable_overchage	wh_main_spell_metal_plague_of_rust
wh2_main_effect_magic_metal_enable_plague_of_rust_upgraded	enable	wh_main_spell_metal_plague_of_rust
wh2_main_effect_magic_metal_enable_searing_doom_upgraded	enable_overchage	wh_main_spell_metal_searing_doom
wh2_main_effect_magic_metal_enable_searing_doom_upgraded	enable	wh_main_spell_metal_searing_doom
wh2_main_effect_magic_metal_enable_transmutation_of_lead_upgraded	enable_overchage	wh_main_spell_metal_transmutation_of_lead
wh2_main_effect_magic_metal_enable_transmutation_of_lead_upgraded	enable	wh_main_spell_metal_transmutation_of_lead
wh2_main_effect_magic_metal_miscast_reduction_final_transmutation_upgraded	miscast_percentage_mod	wh_main_spell_metal_final_transmutation_upgraded
wh2_main_effect_magic_metal_miscast_reduction_gehennas_golden_hounds_upgraded	miscast_percentage_mod	wh_main_spell_metal_gehennas_golden_hounds_upgraded
wh2_main_effect_magic_metal_miscast_reduction_glittering_robe_upgraded	miscast_percentage_mod	wh_main_spell_metal_glittering_robe_upgraded
wh2_main_effect_magic_metal_miscast_reduction_plague_of_rust_upgraded	miscast_percentage_mod	wh_main_spell_metal_plague_of_rust_upgraded
