battle_skeletons_tables
15
head_node	hips_node	leftarm_node	leftfoot_node	lefthand_node	leftleg_node	leftshoulder_node	leftupleg_node	leftwheel_node	name	neck_node	rightarm_node	rightfoot_node	righthand_node	rightleg_node	rightshoulder_node	rightupleg_node	rightwheel_node	root	scale	scale_deviation	spine_node	weapon1_node	weapon2_node	weapon3_node	weapon4_node	weapon5_node	leftfinger_node	rightfinger_node	lefttoe_node	righttoe_node	category_man	category_mount	category_engine	weapon6_node	category_animal	category_fauna	cinematic	locomotion	leftwingbase_node	rightwingbase_node	head_tracking_angle	back_node	front_left_upper_leg_node	front_right_upper_leg_node	front_lefttoe_node	front_righttoe_node	rear_left_upper_leg_node	rear_right_upper_leg_node	rear_lefttoe_node	rear_righttoe_node	footstep_nodes	footstep_detection_height	articulation_node	flying_pivot_node	filter_projectiles_node	torso_splice_node
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid06c	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1		be_prop_3	be_prop_4			foot_left	foot_right	True	False	False	be_prop_5	False	False	False	biped			20	spine_2									foot_left;foot_right	0.02			hand_, loincloth_, cape_, hair_	
head_0	root	upperarm_left	foot_left_0	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid07	neck_0	upperarm_right	foot_right_0	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_inner_left_0	toe_inner_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									foot_left_0;foot_right_0	0.02				
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid07b	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_middle_left_0	toe_middle_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									foot_left;foot_right	0.02				
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left_0	upperleg_left		humanoid07c	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right_0	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_mid	toe_right_mid	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									foot_left;foot_right	0.02				
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid08	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			hand_, skirt_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid08b	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0								toe_inner_left_0	toe_inner_right_0	True	False	False		False	False	False	winged_biped	clav_left	clav_right	45	spine_2									toe_inner_left_0;toe_inner_right_0	0.02		spine_2	wing_, elbow_	
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid08c	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			hand_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid09	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			hand_,	
head_0	root	upperarm_left	foot_left_0	hand_left	lowerleg_left_0	clav_left	upperleg_left_0		humanoid10b	neck_0	upperarm_right	foot_right_0	hand_right	lowerleg_right_0	clav_right	upperleg_right_0		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			foot_left_0	foot_right_0	True	False	False	be_prop_5	False	False	False	winged_biped	wing_left_0	wing_right_0	45	spine_2									foot_left;foot_right	0.02		spine_2	hand_, loincloth_, wing_	
head_middle_0	root	upperarm_left	foot_left_0	hand_left	lowerleg_left_0	clav_left	upperleg_left_0		humanoid10c	neck_middle_0	upperarm_right	foot_right_0	hand_right	lowerleg_right_0	clav_right	upperleg_right_0		animRoot	1	0	spine_0	be_prop_0					finger_index_left_0	finger_index_right_0	toe_left_middle_0	toe_right_middle_0	True	False	False		False	False	False	winged_biped	wing_shoulder_left_0	wing_shoulder_right_0	60	spine_3									toe_left_middle_0;toe_right_middle_0	0.02		spine_2	feather_, neck_, necklace_, loinloth_, hand_, foot_	
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid11	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0					finger_index_left_0	finger_index_right_0	foot_left	foot_right	True	False	False		False	False	False	biped			45	spine_2									foot_left;foot_right	0.02			skirt_, hand_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid12	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	foot_left	foot_right	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									foot_left;foot_right	0.02			ponytail_, skirt_, shoulder_, hand_	
head_0	root	upperarm_left	foot_left_0	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid17	neck_0	upperarm_right	foot_right_0	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	foot_left_0	foot_right_0	True	True	False	be_prop_5	False	False	False	biped			45	spine_2									foot_left;foot_right	0.02			foot_, hand_, skirt_, cape_, trophy_rack, backpack_0	
head_0	root	upperarm_left	foot_left	hand_left_0	lowerleg_left	clav_left	upperleg_left		humanoid18	neck_0	upperarm_right	foot_right	hand_right_0	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0						finger_index_left_0	finger_index_right_0	foot_left	foot_right	True	True	False		False	False	False	biped			45	spine_2									foot_left;foot_right	0.02			loincloth_, hand_, scaffolding_	
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid20	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0						finger_index_left_0	finger_index_right_0	toe_middle_left_0	toe_middle_right_0	True	False	False		False	False	False	biped			45	spine_2									toe_middle_left_0;toe_middle_right_0	0.02			foot_, hand_, skirt_	
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid21	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1				finger_index_left_0	finger_index_right_0	toe_middle_left_0	toe_middle_right_0	True	False	False	be_prop_5	False	False	False	biped			0	spine_2									toe_middle_left_0;toe_middle_right_0	0.02			foot_, hand_, skirt_, beard_, hair_, branch_	
head	root	upperarm_left	ankle_left	hand_left	lowerleg_left	clav_left	upperleg_left		hybridcreature02	neck_0	upperarm_right	ankle_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0						finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False		False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			tentacle_base_, tongue_, hand_, claw_, mandible_	
head_0	root	upperarm_top_left	foot_rear_left	lowerarm_top_left	lowerleg_rear_left	clav_top_left_0	upperleg_rear_left		hybridcreature05	neck_0	upperarm_top_right	foot_rear_right	lowerarm_top_right	lowerleg_rear_right	clav_top_right_0	upperleg_rear_right		animRoot	1	0	spine_0								toe_middle_rear_left_0	toe_middle_rear_right_0	True	False	False		False	False	False	biped			45	spine_7	upperarm_bot_left	upperarm_bot_right	hand_bot_left	hand_bot_right	upperleg_rear_left	upperleg_rear_right	toe_middle_rear_left_0	toe_middle_rear_right_0	toe_middle_rear_left_0;toe_middle_rear_right_0	0.02				
	root							wheel_mid_left_	lightningcannon01								wheel_mid_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05				
	root								lightship01									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								lightship02									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								lightship03									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								lightship04									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								lightship05									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root							wheel_left_	luminark01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02	horse_boom_0			
	root								mediumship01									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								mediumship02									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								mediumship03									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								mediumship04									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								mediumship05									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								mediumship06									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root							wheel_left_	mortar01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root								mortisengine01									animRoot	1	0											False	False	True		False	False	False	unclassified			45											0.05	pivot_0			
	root							wheel_left_	organgun01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root								p_whip01_hu1c									root	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root							wheel_mid_left_	plagueclawcatapult01								wheel_mid_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05				
	root								platform01									animRoot	1	0											False	False	True		False	False	False	unclassified			45											0.02				
head	root	leg_left_1	foot_left	foot_left	leg_left_1	leg_left_0	leg_left_0		raptor01	spine_0	leg_right_1	foot_right	foot_right	leg_right_1	leg_right_0	leg_right_0		animRoot	1	0	spine_0						toe_inner_left_0	toe_inner_right_0	toe_inner_left_0	toe_inner_right_0	False	True	False		False	False	False	biped			60	spine_2									toe_inner_left_0;toe_inner_right_0	0.02			foot_, tongue_	
head_0	root	leg_left_1	leg_left_3	leg_left_3	leg_left_1	leg_left_0	leg_left_0		raptor02	head_0	leg_right_1	leg_right_3	leg_right_3	leg_right_1	leg_right_0	leg_right_0		animRoot	1	0	head_0						toe_middle_left_0	toe_middle_right_0	toe_middle_left_0	toe_middle_right_0	True	True	False		True	False	False	biped			0	root									toe_left_middle_0;toe_right_middle_0	0.02			toe_, tongue_	
head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left_0	leg_left_0		raptor03	neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right_0	leg_right_0		animRoot	1	0	spine_0						toe_inner_left_0	toe_inner_right_0	toe_inner_left_0	toe_inner_right_0	False	True	False		False	False	False	biped			60	spine_2									toe_inner_left_0;toe_inner_right_0	0.02			foot_, hand_, chest_armour_, 	
head_0	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left_0	leg_left_0		raptor03b	neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right_0	leg_right_0		animRoot	1	0	spine_0						toe_inner_left_0	toe_inner_right_0	toe_inner_left_0	toe_inner_right_0	False	True	False		False	False	False	biped			60	spine_2									toe_inner_left_0;toe_inner_right_0	0.02			foot_, hand_, chest_armour_, 	
head_0	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		rat01b	head_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						finger_left_0	finger_right_0	toe_left	toe_right	False	False	False		True	False	False	quadruped			45		upperarm_left	upperarm_right	finger_left_0	finger_right_0	leg_left_0	leg_right_0	toe_left	toe_right	toe_left;toe_right;finger_left_0;finger_right_0	0.02				
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		rigid_root	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0								toe_left_0	toe_right_0	True	True	True		False	False	False	unclassified			45	spine_2	upperarm_left	upperarm_right	hand_left	hand_right	upperleg_left	upperleg_right	toe_left_0	toe_right_0		0.02				
	root							wheel_mid_left_0	rocklobber01								wheel_mid_right_0	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root							wheel_mid_left_0	screamingbell01								wheel_mid_right_0	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
skarsnik_head_0	root	skarsnik_upperarm_left	skarsnik_foot_left	skarsnik_hand_left	skarsnik_lowerleg_left	skarsnik_clav_left	skarsnik_upperleg_left		skarsnik01	skarsnik_neck_0	skarsnik_upperarm_right	skarsnik_foot_right	skarsnik_hand_right	skarsnik_lowerleg_right	skarsnik_clav_right	skarsnik_upperleg_right		animRoot	1	0	skarsnik_spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	skarsnik_finger_index_left_0	skarsnik_finger_index_right_0	skarsnik_toe_left_0	skarsnik_toe_right_0	True	False	False	be_prop_5	False	False	False	double_biped			45	skarsnik_spine_2									toe_left_0;toe_right_0	0.02			skirt_, loincloth_, hand_, hat_, ear_	
fr_head_0	root	fr_upperarm_left	fr_foot_left_0	fr_hand_left	fr_upperleg_left	fr_clav_left	fr_upperleg_left		skaventeam01	fr_neck_0	fr_upperarm_right	fr_foot_right_0	fr_hand_right	fr_upperleg_right	fr_clav_right	fr_upperleg_right		animRoot	1	0	fr_spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	fr_finger_index_left_0	fr_finger_index_right_0	fr_toes_left_0	fr_toes_right_0	True	False	False	be_prop_5	False	False	False	double_biped			45	fr_spine_2									fr_toes_left_0, fr_toes_right_0, bk_toes_left_0, bk_toes_right_0	0.05				
	root								spider01									animRoot	1	0	spine_0										True	True	False		False	False	False	unclassified			45										leg_left_back_end;leg_right_back_end;leg_left_back_mid_end;leg_right_back_mid_end;leg_left_front_mid_end;leg_right_front_mid_end;leg_left_front_end;leg_right_front_end;	0.02			platform_	
head_0	root	upperarm_left	foot_left_0	hand_left	leg_left_1	clav_left	leg_left_0		stag01	neck_0	upperarm_right	foot_right_0	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						finger_middle_left_0	finger_middle_right_0	toe_left_0	toe_right_0	False	True	False		False	False	False	quadruped			45		upperarm_left	upperarm_right	finger_middle_left_0	finger_middle_right_0	leg_left_0	leg_right_0	toe_left_0	toe_right_0	toe_right_0;toe_left_0;finger_middle_right_0;finger_middle_left_0	0.02			tail_, foot_, finger_	
	root							wheel_left_	steamtank01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
root	root	root	root	root	root	root	root		steamtank01turret01	root	root	root	root	root	root	root		animRoot	1	0	root										True	False	False		False	False	False	unclassified			45											0.02				
head_rider_0	root	upperarm_left_rider_0	upperleg_left_rider_2	upperarm_left_rider_2	upperleg_left_rider_0	clav_left_rider_0	upperleg_left_rider_0		throne01	neck_rider_0	upperarm_right_rider_0	upperleg_right_rider_2	upperarm_right_rider_2	upperleg_right_rider_0	clav_right_rider_0	upperleg_right_rider_0		animRoot	1	0	spine_rider_0	be_prop_rider_4	be_prop_vfx_5				finger_index_left_rider_0	finger_index_right_rider_0	toe_left_rider_0	toe_right_rider_0	False	True	False		False	False	False	biped			45	spine_rider_2									toe_left_back_left_0;toe_left_back_right_0;toe_left_front_left_0;toe_left_front_right_0;toe_right_back_left_0;toe_right_back_right_0;toe_right_front_left_0;toe_right_front_right_0	0.02			skirt_, beard_	
	root							wheel_left_	tiranocchariot01								wheel_right_	animRoot	1	0											False	False	False		False	False	False	wheeled			45											0.05	pivot_0			
	root								transportship01									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								transportship02									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								transportship03									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								transportship04									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root							log_roller_	trebuchet01								log_roller_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
head_0	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		wolf01	neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						finger_base_left_0	finger_base_right_0	toe_outer_left_0	toe_outer_right_0	False	True	False		False	False	False	quadruped			45		upperarm_left	upperarm_right	finger_base_left_0	finger_base_right_0	leg_left_0	leg_right_0	toe_outer_left_0	toe_outer_right_0	toe_outer_left_0;toe_outer_right_0;finger_base_right_0;finger_base_left_0	0.02			tail_, foot_, finger_base_	
	root							wheel_left_	wolfchariot01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
