cai_personality_deal_evaluation_deal_component_values_tables
4
best_friends_value	bitter_enemies_value	deal_component	friendly_value	neutral_value	personality_component	total_war_balance_factor	last_stand_balance_factor	unfriendly_value	very_friendly_value	very_unfriendly_value	war_balance_factor	tension_balance_factor	peace_balance_factor	treachery_value	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21
-2	-70	TRADE_AGREEMENT	-4	-7	defensive_reliable_trader_unfriendly	9	9	-17	-2	-55	9	10	10	1	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	defensive_reliable_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	defensive_reliable_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	defensive_reliable_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	defensive_reliable_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	defensive_reliable_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	defensive_reliable_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-12	16	REQUEST_BREAK_DEFENSIVE_ALLIANCE	-3	0	defensive_schemer	40	50	4	-6	8	30	20	10	0	1	1	1	1	1	1	1
-12	20	REQUEST_BREAK_MILITARY_ALLIANCE	-3	0	defensive_schemer	40	50	5	-6	10	30	20	10	0	1	1	1	1	1	1	1
-12	10	REQUEST_BREAK_NON_AGGRESSION_PACT	-3	0	defensive_schemer	65	75	2	-6	5	40	20	10	0	1	1	1	1	1	1	1
-12	16	REQUEST_CANCEL_CLIENT_STATE	-3	0	defensive_schemer	40	50	4	-6	8	30	20	10	0	1	1	1	1	1	1	1
-12	14	REQUEST_CANCEL_MILITARY_ACCESS	-3	0	defensive_schemer	40	50	3	-6	7	30	20	10	0	1	1	1	1	1	1	1
-12	14	REQUEST_CANCEL_TRADE_AGREEMENT	-3	0	defensive_schemer	8	10	3	-6	7	6	5	5	0	1	1	1	1	1	1	1
-12	20	REQUEST_CANCEL_VASSALAGE	-3	0	defensive_schemer	40	50	5	-6	10	30	20	10	0	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	defensive_schemer_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	defensive_schemer_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	defensive_schemer_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	defensive_schemer_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	defensive_schemer_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	defensive_schemer_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-10	-135	OFFER_JOIN_CONFEDERATION	-80	-105	defensive_subordinate	20	25	-135	-45	-135	20	20	20	0	1	1	1	1	1	1	1
-75	-55	OFFER_VASSALAGE	-65	-65	defensive_subordinate	45	50	-65	-70	-60	40	35	35	0	1	1	1	1	1	1	1
-70	25	CANCEL_TRADE_AGREEMENT	-30	-16	defensive_trader	8	10	-2	-50	15	6	5	4	-1	1	1	1	1	1	1	1
-70	25	OFFER_CANCEL_TRADE_AGREEMENT	-30	-16	defensive_trader	5	5	-2	-50	15	5	5	5	1	1	1	1	1	1	1	1
0	-70	TRADE_AGREEMENT	-2	-5	defensive_trader	9	9	-15	0	-55	9	10	10	1	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	defensive_trader_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	defensive_trader_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	defensive_trader_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	defensive_trader_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	defensive_trader_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-2	-70	TRADE_AGREEMENT	-4	-7	defensive_trader_unfriendly	9	9	-17	-2	-55	9	10	10	1	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	defensive_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	defensive_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	defensive_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	defensive_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	defensive_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	defensive_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-12	16	REQUEST_BREAK_DEFENSIVE_ALLIANCE	-3	0	defensive_unreliable_schemer	40	50	4	-6	8	30	20	10	0	1	1	1	1	1	1	1
-12	20	REQUEST_BREAK_MILITARY_ALLIANCE	-3	0	defensive_unreliable_schemer	40	50	5	-6	10	30	20	10	0	1	1	1	1	1	1	1
-12	10	REQUEST_BREAK_NON_AGGRESSION_PACT	-3	0	defensive_unreliable_schemer	65	75	2	-6	5	40	20	10	0	1	1	1	1	1	1	1
-12	16	REQUEST_CANCEL_CLIENT_STATE	-3	0	defensive_unreliable_schemer	40	50	4	-6	8	30	20	10	0	1	1	1	1	1	1	1
-12	14	REQUEST_CANCEL_MILITARY_ACCESS	-3	0	defensive_unreliable_schemer	40	50	3	-6	7	30	20	10	0	1	1	1	1	1	1	1
-12	14	REQUEST_CANCEL_TRADE_AGREEMENT	-3	0	defensive_unreliable_schemer	8	10	3	-6	7	6	5	5	0	1	1	1	1	1	1	1
-12	20	REQUEST_CANCEL_VASSALAGE	-3	0	defensive_unreliable_schemer	40	50	5	-6	10	30	20	10	0	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	defensive_unreliable_schemer_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	defensive_unreliable_schemer_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	defensive_unreliable_schemer_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	defensive_unreliable_schemer_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	defensive_unreliable_schemer_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	defensive_unreliable_schemer_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	defensive_unreliable_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	defensive_unreliable_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	defensive_unreliable_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	defensive_unreliable_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	defensive_unreliable_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	defensive_unreliable_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-100	6	BREAK_DEFENSIVE_ALLIANCE	-10	1	diplomat	0	0	2	-100	4	0	0	0	-1	1	1	1	1	1	1	1
-100	8	BREAK_MILITARY_ALLIANCE	1	2	diplomat	0	0	4	-10	6	0	0	0	-1	1	1	1	1	1	1	1
-100	4	BREAK_NON_AGGRESSION_PACT	-10	-2	diplomat	0	0	1	-100	2	0	0	0	-1	1	1	1	1	1	1	1
-100	4	CANCEL_CLIENT_STATE	-10	-2	diplomat	0	0	1	-100	2	0	0	0	-1	1	1	1	1	1	1	1
-100	4	CANCEL_MILITARY_ACCESS	-10	-2	diplomat	0	0	1	-100	2	0	0	0	-1	1	1	1	1	1	1	1
-100	4	CANCEL_TRADE_AGREEMENT	-10	-2	diplomat	0	0	1	-100	2	0	0	0	-1	1	1	1	1	1	1	1
-100	4	CANCEL_VASSALAGE	-10	-2	diplomat	0	0	1	-100	2	0	0	0	-1	1	1	1	1	1	1	1
1	-100	DEFENSIVE_ALLIANCE	-10	-100	diplomat	0	0	-100	1	-100	0	0	0	1	1	1	1	1	1	1	1
1	-100	MILITARY_ACCESS	1	-5	diplomat	0	0	-10	1	-100	0	0	0	1	1	1	1	1	1	1	1
1	-100	MILITARY_ALLIANCE	-100	-100	diplomat	0	0	-100	-10	-100	0	0	0	1	1	1	1	1	1	1	1
1	-100	NON_AGGRESSION_PACT	1	-2	diplomat	0	0	-10	1	-100	0	0	0	0.25	1	1	1	1	1	1	1
-100	6	OFFER_BREAK_DEFENSIVE_ALLIANCE	-10	1	diplomat	0	0	2	-100	4	0	0	0	2	1	1	1	1	1	1	1
-100	8	OFFER_BREAK_MILITARY_ALLIANCE	1	2	diplomat	0	0	4	-10	6	0	0	0	2	1	1	1	1	1	1	1
-100	4	OFFER_BREAK_NON_AGGRESSION_PACT	-10	-2	diplomat	0	0	1	-100	2	0	0	0	1	1	1	1	1	1	1	1
-100	4	OFFER_CANCEL_CLIENT_STATE	-10	-2	diplomat	0	0	1	-100	2	0	0	0	1	1	1	1	1	1	1	1
-100	4	OFFER_CANCEL_MILITARY_ACCESS	-10	-2	diplomat	0	0	1	-100	2	0	0	0	1	1	1	1	1	1	1	1
-100	4	OFFER_CANCEL_TRADE_AGREEMENT	-10	-2	diplomat	0	0	1	-100	2	0	0	0	1	1	1	1	1	1	1	1
-100	4	OFFER_CANCEL_VASSALAGE	-10	-2	diplomat	0	0	1	-100	2	0	0	0	0	1	1	1	1	1	1	1
2	-100	OFFER_CLIENT_STATE	-10	-100	diplomat	0	0	-100	1	-100	0	0	0	0	1	1	1	1	1	1	1
-100	2	OFFER_DECLARE_WAR	-100	-10	diplomat	0	0	-5	-100	1	0	0	0	-0.5	1	1	1	1	1	1	1
-10	-10	OFFER_DIPLOMATIC_MARRIAGE	-10	-10	diplomat	0	0	-10	-10	-10	0	0	0	0	1	1	1	1	1	1	1
5	-100	OFFER_GIFT	1	-100	diplomat	0	0	-100	3	-100	0	0	0	1	1	1	1	1	1	1	1
-10	-100	OFFER_JOIN_CONFEDERATION	-100	-100	diplomat	12	12	-100	-100	-100	11	11	11	0	1	1	1	1	1	1	1
-100	2	OFFER_JOIN_WAR	-100	-10	diplomat	0	0	-5	-100	1	0	0	0	-0.5	1	1	1	1	1	1	1
1	-100	OFFER_VASSALAGE	-100	-100	diplomat	0	0	-100	-100	-100	0	0	0	0	1	1	1	1	1	1	1
6	-100	PEACE	2	1	diplomat	0	0	-5	4	-10	0	0	0	2	1	1	1	1	1	1	1
-100	6	REQUEST_BREAK_DEFENSIVE_ALLIANCE	-100	-10	diplomat	0	0	2	-100	4	0	0	0	0	1	1	1	1	1	1	1
-100	6	REQUEST_BREAK_MILITARY_ALLIANCE	-100	-10	diplomat	0	0	2	-100	4	0	0	0	0	1	1	1	1	1	1	1
-100	5	REQUEST_BREAK_NON_AGGRESSION_PACT	-100	-10	diplomat	0	0	1	-100	3	0	0	0	0	1	1	1	1	1	1	1
-100	6	REQUEST_CANCEL_CLIENT_STATE	-100	-10	diplomat	0	0	2	-100	4	0	0	0	0	1	1	1	1	1	1	1
-100	5	REQUEST_CANCEL_MILITARY_ACCESS	-100	-10	diplomat	0	0	1	-100	3	0	0	0	0	1	1	1	1	1	1	1
-100	5	REQUEST_CANCEL_TRADE_AGREEMENT	-100	-10	diplomat	0	0	1	-100	3	0	0	0	0	1	1	1	1	1	1	1
-100	6	REQUEST_CANCEL_VASSALAGE	-100	-10	diplomat	0	0	2	-100	4	0	0	0	0	1	1	1	1	1	1	1
-10	-10	REQUEST_CLIENT_STATE	-10	-10	diplomat	0	0	-10	-10	-10	0	0	0	0	1	1	1	1	1	1	1
-100	5	REQUEST_DECLARE_WAR	-100	0	diplomat	0	0	0	-100	3	0	0	0	0	1	1	1	1	1	1	1
-10	-10	REQUEST_DIPLOMATIC_MARRIAGE	-10	-10	diplomat	0	0	-10	-10	-10	0	0	0	0	1	1	1	1	1	1	1
6	0	REQUEST_GIFT	2	0	diplomat	0	0	0	4	0	0	0	0	0	1	1	1	1	1	1	1
10	10	REQUEST_JOIN_CONFEDERATION	10	10	diplomat	0	0	10	10	10	0	0	0	0	1	1	1	1	1	1	1
-100	5	REQUEST_JOIN_WAR	-100	0	diplomat	0	0	0	-100	3	0	0	0	0	1	1	1	1	1	1	1
-10	-10	REQUEST_VASSALAGE	-10	-10	diplomat	0	0	-10	-10	-10	0	0	0	0	1	1	1	1	1	1	1
0	0	STRATEGIC_BALANCE_CHANGE	0	0	diplomat	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
1	-100	TRADE_AGREEMENT	1	1	diplomat	0	0	-10	1	-100	0	0	0	1	1	1	1	1	1	1	1
-100	2	WAR	-100	-10	diplomat	0	0	-5	-100	1	0	0	0	-0.5	1	1	1	1	1	1	1
1	-100	MILITARY_ACCESS	-5	-10	diplomat_unfriendly	0	0	-100	1	-100	0	0	0	1	1	1	1	1	1	1	1
1	-100	TRADE_AGREEMENT	1	-5	diplomat_unfriendly	0	0	-10	1	-100	0	0	0	1	1	1	1	1	1	1	1
-150	-150	OFFER_GIFT	-150	-150	dlc03_beastman_friendly	1	1	-150	-150	-150	1	1	1	1	1	1	1	1	1	1	1
-50	-50	OFFER_JOIN_WAR	-50	-50	dlc03_beastman_friendly	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-50	-50	REQUEST_GIFT	-50	-50	dlc03_beastman_friendly	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-50	-50	REQUEST_JOIN_WAR	-50	-50	dlc03_beastman_friendly	1	1	-50	-50	-50	1	1	1	0	1	1	1	1	1	1	1
-150	-150	OFFER_GIFT	-150	-150	dlc03_beastman_hostile	1	1	-150	-150	-150	1	1	1	1	1	1	1	1	1	1	1
-50	-50	OFFER_JOIN_WAR	-50	-50	dlc03_beastman_hostile	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-50	-50	REQUEST_GIFT	-50	-50	dlc03_beastman_hostile	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-50	-50	REQUEST_JOIN_WAR	-50	-50	dlc03_beastman_hostile	1	1	-50	-50	-50	1	1	1	0	1	1	1	1	1	1	1
-50	-50	BREAK_MILITARY_ALLIANCE	-50	-50	dlc03_beastman_mission_sucess	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
30	-120	DEFENSIVE_ALLIANCE	30	30	dlc03_beastman_mission_sucess	90	95	30	30	30	60	35	35	1	1	1	1	1	1	1	1
30	-120	MILITARY_ACCESS	30	30	dlc03_beastman_mission_sucess	90	95	30	30	30	60	35	35	1	1	1	1	1	1	1	1
30	-120	MILITARY_ALLIANCE	30	30	dlc03_beastman_mission_sucess	90	95	30	30	30	60	35	35	0	1	1	1	1	1	1	1
30	-120	NON_AGGRESSION_PACT	30	30	dlc03_beastman_mission_sucess	90	95	30	30	30	60	35	35	0	1	1	1	1	1	1	1
-150	-150	OFFER_GIFT	-150	-150	dlc03_beastman_mission_sucess	1	1	-150	-150	-150	1	1	1	1	1	1	1	1	1	1	1
-50	-50	REQUEST_GIFT	-50	-50	dlc03_beastman_mission_sucess	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-50	-50	WAR	-50	-50	dlc03_beastman_mission_sucess	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-150	-150	OFFER_GIFT	-150	-150	dlc03_beastmen_chapter_impressed	1	1	-150	-150	-150	1	1	1	1	1	1	1	1	1	1	1
-50	-50	OFFER_JOIN_WAR	-50	-50	dlc03_beastmen_chapter_impressed	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-50	-50	REQUEST_GIFT	-50	-50	dlc03_beastmen_chapter_impressed	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-50	-50	REQUEST_JOIN_WAR	-50	-50	dlc03_beastmen_chapter_impressed	1	1	-50	-50	-50	1	1	1	0	1	1	1	1	1	1	1
-150	-150	OFFER_GIFT	-150	-150	dlc03_beastmen_chapter_unimpressed	1	1	-150	-150	-150	1	1	1	1	1	1	1	1	1	1	1
-50	-50	OFFER_JOIN_WAR	-50	-50	dlc03_beastmen_chapter_unimpressed	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-50	-50	REQUEST_GIFT	-50	-50	dlc03_beastmen_chapter_unimpressed	1	1	-50	-50	-50	1	1	1	1	1	1	1	1	1	1	1
-50	-50	REQUEST_JOIN_WAR	-50	-50	dlc03_beastmen_chapter_unimpressed	1	1	-50	-50	-50	1	1	1	0	1	1	1	1	1	1	1
80	80	OFFER_JOIN_CONFEDERATION	80	80	dlc05_wood_elves_default	30	80	80	80	80	30	30	30	0	1	1	1	1	1	1	1
80	80	OFFER_JOIN_CONFEDERATION	80	80	dlc05_wood_elves_default_durthu	30	80	80	80	80	30	30	30	0	1	1	1	1	1	1	1
-40	-135	OFFER_JOIN_CONFEDERATION	-75	-105	dlc05_wood_elves_default_durthu_mini	45	50	-135	-60	-135	40	35	35	0	1	1	1	1	1	1	1
-10	-40	NON_AGGRESSION_PACT	-10	-10	dlc05_wood_elves_default_mini	8	8	-12	-10	-14	8	8	8	0.25	1	1	1	1	1	1	1
-40	-135	OFFER_JOIN_CONFEDERATION	-75	-105	dlc05_wood_elves_default_mini	45	50	-135	-60	-135	40	35	35	0	1	1	1	1	1	1	1
80	80	OFFER_JOIN_CONFEDERATION	80	80	dlc05_wood_elves_default_orion	30	80	80	80	80	30	30	30	0	1	1	1	1	1	1	1
-40	-135	OFFER_JOIN_CONFEDERATION	-75	-105	dlc05_wood_elves_default_orion_mini	45	50	-135	-60	-135	40	35	35	0	1	1	1	1	1	1	1
80	80	OFFER_JOIN_CONFEDERATION	80	80	dlc05_wood_elves_default_rest	30	80	80	80	80	30	30	30	0	1	1	1	1	1	1	1
-10	-40	NON_AGGRESSION_PACT	-10	-10	dlc05_wood_elves_default_rest_mini	8	8	-12	-10	-14	8	8	8	0.25	1	1	1	1	1	1	1
-40	-135	OFFER_JOIN_CONFEDERATION	-75	-105	dlc05_wood_elves_default_rest_mini	45	50	-135	-60	-135	40	35	35	0	1	1	1	1	1	1	1
-75	25	BREAK_DEFENSIVE_ALLIANCE	-15	7	friendly	25	35	15	-45	20	15	15	10	-1	1	1	1	1	1	1	1
-75	25	BREAK_MILITARY_ALLIANCE	-15	7	friendly	25	35	15	-45	20	15	15	10	-1	1	1	1	1	1	1	1
-50	19	BREAK_NON_AGGRESSION_PACT	-10	0	friendly	9	12	5	-25	15	7	5	4	-1	1	1	1	1	1	1	1
-50	15	CANCEL_MILITARY_ACCESS	-25	-8	friendly	8	10	0	-30	10	6	5	4	-1	1	1	1	1	1	1	1
-40	25	CANCEL_TRADE_AGREEMENT	-20	-5	friendly	8	10	9	-30	20	6	5	4	-1	1	1	1	1	1	1	1
-11	-300	DEFENSIVE_ALLIANCE	-23	-35	friendly	35	35	-45	-15	-60	35	30	30	1	1	1	1	1	1	1	1
-10	-300	MILITARY_ACCESS	-19	-30	friendly	35	35	-40	-14	-60	35	30	30	1	1	1	1	1	1	1	1
-22	-500	MILITARY_ALLIANCE	-36	-58	friendly	45	45	-65	-27	-200	40	40	35	1	1	1	1	1	1	1	1
-2	-40	NON_AGGRESSION_PACT	-3	-4	friendly	14	14	-7	-2	-14	14	12	12	0.25	1	1	1	1	1	1	1
-75	25	OFFER_BREAK_DEFENSIVE_ALLIANCE	-15	7	friendly	20	20	15	-45	20	15	15	15	2	1	1	1	1	1	1	1
-100	25	OFFER_BREAK_MILITARY_ALLIANCE	-15	7	friendly	20	20	15	-60	20	15	15	15	2	1	1	1	1	1	1	1
-50	19	OFFER_BREAK_NON_AGGRESSION_PACT	-10	0	friendly	5	5	10	-25	15	5	5	5	1	1	1	1	1	1	1	1
-50	15	OFFER_CANCEL_MILITARY_ACCESS	-25	-20	friendly	5	5	-5	-30	10	5	5	5	1	1	1	1	1	1	1	1
-40	25	OFFER_CANCEL_TRADE_AGREEMENT	-20	-5	friendly	5	5	12	-30	20	5	5	5	1	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	friendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-3	-70	TRADE_AGREEMENT	-6	-11	friendly	15	15	-25	-4	-55	15	15	15	1	1	1	1	1	1	1	1
1	-100	NON_AGGRESSION_PACT	1	1	friendly_diplomat	0	0	-5	1	-10	0	0	0	0.25	1	1	1	1	1	1	1
-10	-100	OFFER_JOIN_CONFEDERATION	-100	-100	friendly_diplomat	11	11	-100	-100	-100	11	11	11	0	1	1	1	1	1	1	1
-105	-90	OFFER_JOIN_CONFEDERATION	-105	-105	friendly_joins_strong	90	95	-105	-105	-95	60	35	35	0	1	1	1	1	1	1	1
-105	-90	OFFER_JOIN_CONFEDERATION	-105	-105	joins_strong	90	95	-105	-105	-95	60	35	35	0	1	1	1	1	1	1	1
-60	-85	OFFER_JOIN_CONFEDERATION	-100	-100	joins_strong_subordinate	90	95	-100	-85	-90	60	35	35	0	1	1	1	1	1	1	1
-75	-55	OFFER_VASSALAGE	-65	-65	joins_strong_subordinate	45	50	-65	-70	-60	40	35	35	0	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	joins_strong_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	joins_strong_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	joins_strong_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	joins_strong_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-115	-100	OFFER_JOIN_CONFEDERATION	-115	-115	joins_strong_unfriendly	90	95	-115	-115	-105	60	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	joins_strong_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-75	25	BREAK_DEFENSIVE_ALLIANCE	-15	7	passive	25	35	15	-45	20	15	15	10	-1	1	1	1	1	1	1	1
-75	25	BREAK_MILITARY_ALLIANCE	-15	7	passive	25	35	15	-45	20	15	15	10	-1	1	1	1	1	1	1	1
-50	19	BREAK_NON_AGGRESSION_PACT	-10	0	passive	9	12	5	-25	15	7	5	4	-1	1	1	1	1	1	1	1
-75	20	CANCEL_CLIENT_STATE	-35	-20	passive	25	30	0	-45	2	15	15	15	-1	1	1	1	1	1	1	1
-50	15	CANCEL_MILITARY_ACCESS	-25	-8	passive	8	10	0	-30	10	6	5	4	-1	1	1	1	1	1	1	1
-40	25	CANCEL_TRADE_AGREEMENT	-20	-5	passive	8	10	9	-30	20	6	5	4	-1	1	1	1	1	1	1	1
-200	-200	CANCEL_VASSALAGE	-200	-200	passive	25	30	-200	-200	-200	15	15	15	-1	1	1	1	1	1	1	1
-15	-200	DEFENSIVE_ALLIANCE	-60	-100	passive	25	25	-125	-35	-125	25	20	20	1	1	1	1	1	1	1	1
-15	-300	MILITARY_ACCESS	-40	-60	passive	25	25	-90	-25	-150	25	15	15	1	1	1	1	1	1	1	1
-30	-300	MILITARY_ALLIANCE	-75	-120	passive	32	35	-150	-50	-150	23	23	23	1	1	1	1	1	1	1	1
-3	-90	NON_AGGRESSION_PACT	-12	-60	passive	8	8	-90	-4	-90	8	8	8	0.25	1	1	1	1	1	1	1
-75	25	OFFER_BREAK_DEFENSIVE_ALLIANCE	-15	7	passive	20	20	15	-45	20	15	15	15	2	1	1	1	1	1	1	1
-100	25	OFFER_BREAK_MILITARY_ALLIANCE	-15	7	passive	20	20	15	-60	20	15	15	15	2	1	1	1	1	1	1	1
-50	19	OFFER_BREAK_NON_AGGRESSION_PACT	-10	0	passive	5	5	10	-25	15	5	5	5	1	1	1	1	1	1	1	1
-75	20	OFFER_CANCEL_CLIENT_STATE	-35	-20	passive	20	20	0	-45	2	15	15	15	1	1	1	1	1	1	1	1
-50	15	OFFER_CANCEL_MILITARY_ACCESS	-25	-20	passive	5	5	-5	-30	10	5	5	5	1	1	1	1	1	1	1	1
-40	25	OFFER_CANCEL_TRADE_AGREEMENT	-20	-5	passive	5	5	12	-30	20	5	5	5	1	1	1	1	1	1	1	1
-100	15	OFFER_CANCEL_VASSALAGE	-40	-25	passive	20	20	-20	-60	0	15	15	15	0	1	1	1	1	1	1	1
-50	-200	OFFER_CLIENT_STATE	-200	-200	passive	45	50	-200	-90	-200	40	35	35	0	1	1	1	1	1	1	1
-200	-10	OFFER_DECLARE_WAR	-100	-45	passive	-30	-35	-30	-200	-20	-14	15	65	-0.5	1	1	1	1	1	1	1
-200	-200	OFFER_DIPLOMATIC_MARRIAGE	-200	-200	passive	4	5	-200	-200	-200	3	3	2	1	1	1	1	1	1	1	1
1	-50	OFFER_GIFT	-10	-15	passive	1	1	-25	-5	-35	1	1	1	1	1	1	1	1	1	1	1
-70	-185	OFFER_JOIN_CONFEDERATION	-185	-185	passive	45	50	-185	-135	-185	40	35	35	0	1	1	1	1	1	1	1
-200	-10	OFFER_JOIN_WAR	-100	-45	passive	-30	-35	-30	-200	-20	-14	15	65	0.5	1	1	1	1	1	1	1
-95	-85	OFFER_VASSALAGE	-90	-90	passive	45	50	-90	-95	-85	40	35	35	0	1	1	1	1	1	1	1
-5	-28	PEACE	-9	-13	passive	50	50	-19	-7	-23	33	20	15	2	1	1	1	1	1	1	1
-12	4	REQUEST_BREAK_DEFENSIVE_ALLIANCE	-3	0	passive	40	50	1	-6	2	30	20	10	0	1	1	1	1	1	1	1
-12	4	REQUEST_BREAK_MILITARY_ALLIANCE	-3	0	passive	40	50	1	-6	2	30	20	10	0	1	1	1	1	1	1	1
