cdir_events_dilemma_choice_details_tables
0
choice_key	dilemma_key
FOURTH	wh_dlc03_full_moon_preparations_full_moon_10
SECOND	wh_dlc03_full_moon_preparations_full_moon_10
THIRD	wh_dlc03_full_moon_preparations_full_moon_10
FIRST	wh_dlc03_full_moon_preparations_full_moon_11
FOURTH	wh_dlc03_full_moon_preparations_full_moon_11
SECOND	wh_dlc03_full_moon_preparations_full_moon_11
THIRD	wh_dlc03_full_moon_preparations_full_moon_11
FIRST	wh_dlc03_full_moon_preparations_full_moon_12
FOURTH	wh_dlc03_full_moon_preparations_full_moon_12
SECOND	wh_dlc03_full_moon_preparations_full_moon_12
THIRD	wh_dlc03_full_moon_preparations_full_moon_12
FIRST	wh_dlc03_full_moon_preparations_full_moon_13
FOURTH	wh_dlc03_full_moon_preparations_full_moon_13
SECOND	wh_dlc03_full_moon_preparations_full_moon_13
THIRD	wh_dlc03_full_moon_preparations_full_moon_13
FIRST	wh_dlc03_full_moon_preparations_full_moon_14
FOURTH	wh_dlc03_full_moon_preparations_full_moon_14
SECOND	wh_dlc03_full_moon_preparations_full_moon_14
THIRD	wh_dlc03_full_moon_preparations_full_moon_14
FIRST	wh_dlc03_full_moon_preparations_full_moon_15
FOURTH	wh_dlc03_full_moon_preparations_full_moon_15
SECOND	wh_dlc03_full_moon_preparations_full_moon_15
THIRD	wh_dlc03_full_moon_preparations_full_moon_15
FIRST	wh_dlc03_full_moon_preparations_full_moon_16
FOURTH	wh_dlc03_full_moon_preparations_full_moon_16
SECOND	wh_dlc03_full_moon_preparations_full_moon_16
THIRD	wh_dlc03_full_moon_preparations_full_moon_16
FIRST	wh_dlc03_full_moon_preparations_full_moon_17
FOURTH	wh_dlc03_full_moon_preparations_full_moon_17
SECOND	wh_dlc03_full_moon_preparations_full_moon_17
THIRD	wh_dlc03_full_moon_preparations_full_moon_17
FIRST	wh_dlc03_full_moon_preparations_full_moon_18
FOURTH	wh_dlc03_full_moon_preparations_full_moon_18
SECOND	wh_dlc03_full_moon_preparations_full_moon_18
THIRD	wh_dlc03_full_moon_preparations_full_moon_18
FIRST	wh_dlc03_full_moon_preparations_full_moon_19
FOURTH	wh_dlc03_full_moon_preparations_full_moon_19
SECOND	wh_dlc03_full_moon_preparations_full_moon_19
THIRD	wh_dlc03_full_moon_preparations_full_moon_19
FIRST	wh_dlc03_full_moon_preparations_full_moon_1
FOURTH	wh_dlc03_full_moon_preparations_full_moon_1
SECOND	wh_dlc03_full_moon_preparations_full_moon_1
THIRD	wh_dlc03_full_moon_preparations_full_moon_1
FIRST	wh_dlc03_full_moon_preparations_full_moon_20
FOURTH	wh_dlc03_full_moon_preparations_full_moon_20
SECOND	wh_dlc03_full_moon_preparations_full_moon_20
THIRD	wh_dlc03_full_moon_preparations_full_moon_20
FIRST	wh_dlc03_full_moon_preparations_full_moon_2
FOURTH	wh_dlc03_full_moon_preparations_full_moon_2
SECOND	wh_dlc03_full_moon_preparations_full_moon_2
THIRD	wh_dlc03_full_moon_preparations_full_moon_2
FIRST	wh_dlc03_full_moon_preparations_full_moon_3
FOURTH	wh_dlc03_full_moon_preparations_full_moon_3
SECOND	wh_dlc03_full_moon_preparations_full_moon_3
THIRD	wh_dlc03_full_moon_preparations_full_moon_3
FIRST	wh_dlc03_full_moon_preparations_full_moon_4
FOURTH	wh_dlc03_full_moon_preparations_full_moon_4
SECOND	wh_dlc03_full_moon_preparations_full_moon_4
THIRD	wh_dlc03_full_moon_preparations_full_moon_4
FIRST	wh_dlc03_full_moon_preparations_full_moon_5
FOURTH	wh_dlc03_full_moon_preparations_full_moon_5
SECOND	wh_dlc03_full_moon_preparations_full_moon_5
THIRD	wh_dlc03_full_moon_preparations_full_moon_5
FIRST	wh_dlc03_full_moon_preparations_full_moon_6
FOURTH	wh_dlc03_full_moon_preparations_full_moon_6
SECOND	wh_dlc03_full_moon_preparations_full_moon_6
THIRD	wh_dlc03_full_moon_preparations_full_moon_6
FIRST	wh_dlc03_full_moon_preparations_full_moon_7
FOURTH	wh_dlc03_full_moon_preparations_full_moon_7
SECOND	wh_dlc03_full_moon_preparations_full_moon_7
THIRD	wh_dlc03_full_moon_preparations_full_moon_7
FIRST	wh_dlc03_full_moon_preparations_full_moon_8
FOURTH	wh_dlc03_full_moon_preparations_full_moon_8
SECOND	wh_dlc03_full_moon_preparations_full_moon_8
THIRD	wh_dlc03_full_moon_preparations_full_moon_8
FIRST	wh_dlc03_full_moon_preparations_full_moon_9
FOURTH	wh_dlc03_full_moon_preparations_full_moon_9
SECOND	wh_dlc03_full_moon_preparations_full_moon_9
THIRD	wh_dlc03_full_moon_preparations_full_moon_9
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_10
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_10
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_10
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_10
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_11
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_11
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_11
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_11
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_12
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_12
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_12
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_12
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_13
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_13
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_13
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_13
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_14
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_14
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_14
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_14
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_15
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_15
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_15
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_15
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_16
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_16
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_16
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_16
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_17
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_17
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_17
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_17
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_18
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_18
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_18
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_18
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_19
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_19
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_19
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_19
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_1
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_1
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_1
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_1
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_20
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_20
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_20
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_20
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_2
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_2
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_2
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_2
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_3
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_3
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_3
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_3
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_4
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_4
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_4
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_4
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_5
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_5
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_5
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_5
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_6
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_6
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_6
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_6
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_7
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_7
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_7
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_7
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_8
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_8
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_8
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_8
FIRST	wh_dlc03_full_moon_preparations_lunar_eclipse_9
FOURTH	wh_dlc03_full_moon_preparations_lunar_eclipse_9
SECOND	wh_dlc03_full_moon_preparations_lunar_eclipse_9
THIRD	wh_dlc03_full_moon_preparations_lunar_eclipse_9
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_10
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_10
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_10
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_10
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_11
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_11
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_11
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_11
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_12
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_12
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_12
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_12
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_13
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_13
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_13
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_13
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_14
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_14
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_14
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_14
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_15
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_15
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_15
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_15
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_16
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_16
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_16
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_16
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_17
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_17
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_17
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_17
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_18
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_18
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_18
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_18
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_19
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_19
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_19
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_19
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_1
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_1
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_1
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_1
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_20
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_20
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_20
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_20
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_2
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_2
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_2
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_2
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_3
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_3
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_3
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_3
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_4
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_4
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_4
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_4
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_5
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_5
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_5
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_5
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_6
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_6
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_6
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_6
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_7
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_7
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_7
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_7
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_8
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_8
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_8
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_8
FIRST	wh_dlc03_full_moon_preparations_solar_eclipse_9
FOURTH	wh_dlc03_full_moon_preparations_solar_eclipse_9
SECOND	wh_dlc03_full_moon_preparations_solar_eclipse_9
THIRD	wh_dlc03_full_moon_preparations_solar_eclipse_9
FIRST	wh_dlc04_vmp_vlad_von_carstein_the_carstein_ring_stage_2
SECOND	wh_dlc04_vmp_vlad_von_carstein_the_carstein_ring_stage_2
FIRST	wh_dlc05_wef_asrai_asur_druchii
SECOND	wh_dlc05_wef_asrai_asur_druchii
FIRST	wh_dlc05_wef_children_of_eternity
SECOND	wh_dlc05_wef_children_of_eternity
FIRST	wh_dlc05_wef_festival_of_the_equinox
SECOND	wh_dlc05_wef_festival_of_the_equinox
FIRST	wh_dlc05_wef_heavens_or_the_underworld
SECOND	wh_dlc05_wef_heavens_or_the_underworld
FIRST	wh_dlc05_wef_shape_shifters
SECOND	wh_dlc05_wef_shape_shifters
FIRST	wh_dlc05_wef_the_dreaming_wood
SECOND	wh_dlc05_wef_the_dreaming_wood
FIRST	wh_dlc05_wef_the_fate_of_the_body
SECOND	wh_dlc05_wef_the_fate_of_the_body
FIRST	wh_dlc05_wef_the_great_stag
SECOND	wh_dlc05_wef_the_great_stag
FIRST	wh_dlc05_wef_the_night_glens
SECOND	wh_dlc05_wef_the_night_glens
FIRST	wh_dlc05_wef_vaults_of_winter
SECOND	wh_dlc05_wef_vaults_of_winter
FIRST	wh_dlc07_brt_a_noble_feast
SECOND	wh_dlc07_brt_a_noble_feast
FIRST	wh_dlc07_brt_dedicated_service
SECOND	wh_dlc07_brt_dedicated_service
FIRST	wh_dlc07_brt_final_battle_choice
SECOND	wh_dlc07_brt_final_battle_choice
FIRST	wh_dlc07_brt_food_hoarder
SECOND	wh_dlc07_brt_food_hoarder
FIRST	wh_dlc07_brt_gifted_children
SECOND	wh_dlc07_brt_gifted_children
FIRST	wh_dlc07_brt_hidden_statue
SECOND	wh_dlc07_brt_hidden_statue
FIRST	wh_dlc07_brt_hunting_grounds
SECOND	wh_dlc07_brt_hunting_grounds
FIRST	wh_dlc07_brt_knowledge_from_the_lady
SECOND	wh_dlc07_brt_knowledge_from_the_lady
FIRST	wh_dlc07_brt_mockery_of_our_vows
SECOND	wh_dlc07_brt_mockery_of_our_vows
FIRST	wh_dlc07_brt_pimples_and_brown_spots
SECOND	wh_dlc07_brt_pimples_and_brown_spots
FIRST	wh_dlc07_brt_prosperous_harvest
SECOND	wh_dlc07_brt_prosperous_harvest
FIRST	wh_dlc07_brt_qb_alberic_trident_of_manann_stage_5
SECOND	wh_dlc07_brt_qb_alberic_trident_of_manann_stage_5
FIRST	wh_dlc07_brt_the_price_of_chivalry
SECOND	wh_dlc07_brt_the_price_of_chivalry
FIRST	wh_dlc07_brt_whispers_of_witchcraft
SECOND	wh_dlc07_brt_whispers_of_witchcraft
FIRST	wh_main_all_a_stranger_comes
SECOND	wh_main_all_a_stranger_comes
FIRST	wh_main_all_a_stranger_comes_vmp
SECOND	wh_main_all_a_stranger_comes_vmp
FIRST	wh_main_all_foolish_vainglory
SECOND	wh_main_all_foolish_vainglory
FIRST	wh_main_all_the_gods_are_angry
SECOND	wh_main_all_the_gods_are_angry
FIRST	wh_main_all_the_migration
SECOND	wh_main_all_the_migration
FIRST	wh_main_all_under_the_dark_moons_glare
SECOND	wh_main_all_under_the_dark_moons_glare
FIRST	wh_main_azhag_the_slaughterer_azhags_ard_armour_stage_1
SECOND	wh_main_azhag_the_slaughterer_azhags_ard_armour_stage_1
FIRST	wh_main_brt_border_dispute
SECOND	wh_main_brt_border_dispute
FIRST	wh_main_brt_corrupt_duke
SECOND	wh_main_brt_corrupt_duke
FIRST	wh_main_brt_peasant_riots
SECOND	wh_main_brt_peasant_riots
FIRST	wh_main_chs_the_eye_closes
SECOND	wh_main_chs_the_eye_closes
FIRST	wh_main_chs_the_eye_opens
SECOND	wh_main_chs_the_eye_opens
FIRST	wh_main_chs_the_eye_opens_wider
SECOND	wh_main_chs_the_eye_opens_wider
FIRST	wh_main_dwf_a_grudge_too_far
SECOND	wh_main_dwf_a_grudge_too_far
FIRST	wh_main_dwf_a_shameful_display
SECOND	wh_main_dwf_a_shameful_display
FIRST	wh_main_dwf_besieged_khazid
SECOND	wh_main_dwf_besieged_khazid
FIRST	wh_main_dwf_empire_in_flames
SECOND	wh_main_dwf_empire_in_flames
FIRST	wh_main_dwf_ungrim_ironfist_slayer_crown_stage_3
SECOND	wh_main_dwf_ungrim_ironfist_slayer_crown_stage_3
FIRST	wh_main_dwf_what_would_grungni_do
SECOND	wh_main_dwf_what_would_grungni_do
FIRST	wh_main_emp_balthasar_gelt_amulet_of_sea_gold_stage_3
SECOND	wh_main_emp_balthasar_gelt_amulet_of_sea_gold_stage_3
FIRST	wh_main_emp_elector_greed
SECOND	wh_main_emp_elector_greed
FIRST	wh_main_emp_karl_franz_silver_seal_stage_2
SECOND	wh_main_emp_karl_franz_silver_seal_stage_2
FIRST	wh_main_emp_looters
SECOND	wh_main_emp_looters
FIRST	wh_main_emp_tax_riots
SECOND	wh_main_emp_tax_riots
FIRST	wh_main_emp_the_brass_sentinel_speaks
SECOND	wh_main_emp_the_brass_sentinel_speaks
FIRST	wh_main_emp_the_moot_petitions
SECOND	wh_main_emp_the_moot_petitions
FIRST	wh_main_grn_get_out_of_da_way
SECOND	wh_main_grn_get_out_of_da_way
FIRST	wh_main_grn_gork_or_mork
SECOND	wh_main_grn_gork_or_mork
FIRST	wh_main_grn_lootas
SECOND	wh_main_grn_lootas
FIRST	wh_main_grn_wanderin_gits
SECOND	wh_main_grn_wanderin_gits
FIRST	wh_main_grn_wheres_ma_teef
SECOND	wh_main_grn_wheres_ma_teef
FIRST	wh_main_vmp_an_enemy_within
SECOND	wh_main_vmp_an_enemy_within
FIRST	wh_main_vmp_feasting_on_the_smallfolk
SECOND	wh_main_vmp_feasting_on_the_smallfolk
FIRST	wh_main_vmp_legacy_of_nagash
SECOND	wh_main_vmp_legacy_of_nagash
FIRST	wh_main_vmp_the_bloody_princes
SECOND	wh_main_vmp_the_bloody_princes
FIRST	wh_main_vmp_the_prince_of_nothing
SECOND	wh_main_vmp_the_prince_of_nothing
FIRST	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3
SECOND	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3
FIRST	wh_pro01_dwf_grombrindal_god_choice_grimnir_15
FOURTH	wh_pro01_dwf_grombrindal_god_choice_grimnir_15
SECOND	wh_pro01_dwf_grombrindal_god_choice_grimnir_15
THIRD	wh_pro01_dwf_grombrindal_god_choice_grimnir_15
FIRST	wh_pro01_dwf_grombrindal_god_choice_grimnir_25
FOURTH	wh_pro01_dwf_grombrindal_god_choice_grimnir_25
SECOND	wh_pro01_dwf_grombrindal_god_choice_grimnir_25
THIRD	wh_pro01_dwf_grombrindal_god_choice_grimnir_25
FIRST	wh_pro01_dwf_grombrindal_god_choice_grungni_15
FOURTH	wh_pro01_dwf_grombrindal_god_choice_grungni_15
SECOND	wh_pro01_dwf_grombrindal_god_choice_grungni_15
THIRD	wh_pro01_dwf_grombrindal_god_choice_grungni_15
FIRST	wh_pro01_dwf_grombrindal_god_choice_grungni_25
FOURTH	wh_pro01_dwf_grombrindal_god_choice_grungni_25
SECOND	wh_pro01_dwf_grombrindal_god_choice_grungni_25
THIRD	wh_pro01_dwf_grombrindal_god_choice_grungni_25
FIRST	wh_pro01_dwf_grombrindal_god_choice_valaya_15
FOURTH	wh_pro01_dwf_grombrindal_god_choice_valaya_15
SECOND	wh_pro01_dwf_grombrindal_god_choice_valaya_15
THIRD	wh_pro01_dwf_grombrindal_god_choice_valaya_15
FIRST	wh_pro01_dwf_grombrindal_god_choice_valaya_25
FOURTH	wh_pro01_dwf_grombrindal_god_choice_valaya_25
SECOND	wh_pro01_dwf_grombrindal_god_choice_valaya_25
THIRD	wh_pro01_dwf_grombrindal_god_choice_valaya_25
FIRST	wh_pro01_dwf_grombrindal_god_choice_white_dwarf_15
FOURTH	wh_pro01_dwf_grombrindal_god_choice_white_dwarf_15
SECOND	wh_pro01_dwf_grombrindal_god_choice_white_dwarf_15
THIRD	wh_pro01_dwf_grombrindal_god_choice_white_dwarf_15
FIRST	wh_pro01_dwf_grombrindal_god_choice_white_dwarf_25
FOURTH	wh_pro01_dwf_grombrindal_god_choice_white_dwarf_25
SECOND	wh_pro01_dwf_grombrindal_god_choice_white_dwarf_25
THIRD	wh_pro01_dwf_grombrindal_god_choice_white_dwarf_25
