campaign_mount_animation_set_overrides_tables
2
character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
cam_hu3_dwarf_hammer	wh_dlc06_dwf_cha_runelord_1	cam_hu3_dwarf_wm_throne_of_power01_axe	0
cam_hu5_goblin_spear_and_shield	wh_dlc06_grn_cha_night_goblin_warboss_1	cam_hu5_goblin_rp2_squig_spear_and_shield	0
cam_hu5_goblin_spear_and_shield	wh_main_grn_cha_goblin_big_boss_1	cam_hu5_goblin_wf1_wolf_spear_and_shield	0
cam_hu5_goblin_spear_and_shield	wh_main_grn_cha_goblin_big_boss_2	cam_hu5_goblin_sp1_giant_spider_spear_and_shield	0
cam_hu5_goblin_staff_and_sword	wh_main_grn_cha_goblin_great_shaman_1	cam_hu5_goblin_wf1_wolf_staff_and_sword	0
cam_hu6_gor_axe	wh_dlc03_bst_cha_beastlord_1	cam_hu6_gor_staff_and_sword_wm_razorgor_chariot	0
cam_hu6_gor_staff_and_sword	wh_dlc03_bst_cha_bray_shaman_beasts_1	cam_hu6_gor_staff_and_sword_wm_razorgor_chariot	0
cam_hu6_gor_staff_and_sword	wh_dlc03_bst_cha_bray_shaman_death_1	cam_hu6_gor_staff_and_sword_wm_razorgor_chariot	0
cam_hu6_gor_staff_and_sword	wh_dlc03_bst_cha_bray_shaman_wild_1	cam_hu6_gor_staff_and_sword_wm_razorgor_chariot	0
cam_hu6_gor_sword_and_whip	wh_dlc03_bst_cha_khazrak_one_eye_1	cam_hu6_gor_staff_and_sword_wm_razorgor_chariot	0
cam_hu8_strigoi	wh_dlc04_vmp_cha_strigoi_ghoul_king_1	cam_hu8_strigoi_bi2_terrorgheist_wb	0
cam_lord_hu1b_def_staff_and_sword	wh2_main_def_cha_morathi_1	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_elf_dual_sword	wh2_main_def_cha_death_hag_1	cam_lord_hu1b_elf_dual_sword_wm_blood_cauldron01	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_def_cha_sorceress_dark_1	cam_lord_hu1b_elf_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_def_cha_sorceress_dark_2	cam_hero_hu1b_elf_rp3_cold_one_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_def_cha_sorceress_dark_3	cam_hero_hu1b_elf_rp3_cold_one_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_def_cha_sorceress_fire_1	cam_lord_hu1b_elf_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_def_cha_sorceress_fire_2	cam_hero_hu1b_elf_rp3_cold_one_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_def_cha_sorceress_fire_3	cam_hero_hu1b_elf_rp3_cold_one_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_def_cha_sorceress_shadow_1	cam_lord_hu1b_elf_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_def_cha_sorceress_shadow_2	cam_hero_hu1b_elf_rp3_cold_one_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_def_cha_sorceress_shadow_3	cam_hero_hu1b_elf_rp3_cold_one_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_hef_cha_mage_high_1	cam_lord_hu1b_elf_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_hef_cha_mage_high_4	cam_hero_hu1b_elf_wm_tiranoc_chariot_01_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_hef_cha_mage_life_1	cam_lord_hu1b_elf_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_hef_cha_mage_life_4	cam_hero_hu1b_elf_wm_tiranoc_chariot_01_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_hef_cha_mage_light_1	cam_lord_hu1b_elf_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	wh2_main_hef_cha_mage_light_4	cam_hero_hu1b_elf_wm_tiranoc_chariot_01_staff_and_sword	0
cam_lord_hu1b_elf_sword_and_bow	wh2_main_hef_cha_princess_1	cam_lord_hu1b_elf_hr1_warhorse_sword_bow	0
cam_lord_hu1b_elf_sword_and_bow	wh2_main_hef_cha_princess_3	cam_lord_hu1b_elf_bi1_eagle_wb_sword_and_shield	0
cam_lord_hu1b_elf_sword_and_bow	wh2_main_hef_cha_princess_4	cam_lord_hu1b_elf_dr1_dragon_wb_sword_and_bow	0
cam_lord_hu1b_elf_sword_and_bow	wh2_main_hef_cha_princess_5	cam_lord_hu1b_elf_dr1_dragon_wb_sword_and_bow	0
cam_lord_hu1b_elf_sword_and_shield	wh2_main_def_cha_dreadlord_female_1	cam_lord_hu1b_elf_hr1_warhorse_sword_and_shield	0
cam_lord_hu1b_elf_sword_and_shield	wh2_main_def_cha_dreadlord_female_2	cam_lord_hu1b_elf_rp3_cold_one_sword_and_shield	0
cam_lord_hu1b_elf_sword_and_shield	wh2_main_def_cha_dreadlord_female_4	cam_lord_hu1b_elf_dr1_dragon_wb_sword_and_shield	0
cam_lord_hu1b_elf_sword_and_shield	wh2_main_def_cha_dreadlord_female_5	cam_lord_hu1b_elf_hr1_pegasus_sword_and_shield	0
cam_lord_hu1d_def_sword_and_shield	wh2_main_def_cha_malekith_1	cam_lord_hu1d_elf_rp3_cold_one_sword_shield	0
cam_lord_hu1d_def_sword_and_shield	wh2_main_def_cha_malekith_2	cam_lord_hu1d_elf_wm_cold_one_chariot01_sword_shield	0
cam_lord_hu1d_def_sword_and_shield	wh2_main_def_cha_malekith_3	cam_lord_hu1d_elf_dr1_dragon_wb_sword_and_shield	0
cam_lord_hu1d_elf_sword_crossbow	wh2_main_def_cha_dreadlord_1	cam_lord_hu1d_elf_hr1_warhorse_sword_crossbow	0
cam_lord_hu1d_elf_sword_crossbow	wh2_main_def_cha_dreadlord_2	cam_lord_hu1d_elf_wm_rp3_cold_one_sword_crossbow	0
cam_lord_hu1d_elf_sword_crossbow	wh2_main_def_cha_dreadlord_4	cam_lord_hu1d_elf_dr1_dragon_wb_crossbow	0
cam_lord_hu1d_elf_sword_crossbow	wh2_main_def_cha_dreadlord_5	cam_lord_hu1d_elf_hr1_pegasus_sword_and_crossbow	0
cam_lord_hu7b_saurus_club_and_shield	wh2_main_lzd_cha_saurus_old_blood_1	cam_lord_hu7b_saurus_rp3_cold_one_club_and_shield	0
cam_lord_hu7b_saurus_club_and_shield	wh2_main_lzd_cha_saurus_old_blood_2	cam_lord_hu7b_saurus_rp3b_carnosaur_wb_club_and_shield	0
cam_lord_hu7b_saurus_spear	wh2_main_lzd_cha_kroq_gar_1	cam_lord_hu7b_saurus_rp3b_carnosaur_wb_club_and_shield	7
cam_lord_hu7b_saurus_spear	wh2_main_lzd_cha_kroq_gar_2	cam_lord_hu7b_saurus_rp3_cold_one_club_and_shield	7
cam_lord_hu7b_saurus_spear	wh2_main_lzd_cha_kroq_gar_3	cam_lord_hu7b_saurus_rp3_cold_one_club_and_shield	7
cam_lord_hu7b_saurus_spear	wh2_main_lzd_cha_saurus_scar_veteran_1	cam_hero_hu7b_saurus_rp3_cold_one_spear_and_shield	0
cam_lord_hu7b_saurus_spear	wh2_main_lzd_cha_saurus_scar_veteran_2	cam_lord_hu7b_saurus_rp3b_carnosaur_wb_club_and_shield	0
cam_lord_hu9_slann_mace	wh2_main_lzd_cha_lord_mazdamundi_0	cam_lord_hu9_slann_wm_platform01_mace	0
cam_lord_hu9_slann_mace	wh2_main_lzd_cha_lord_mazdamundi_1	cam_lord_hu9_slann_mace	0
cam_lord_hu9_slann_mace	wh2_main_lzd_cha_slann_mage_priest_campaign_0	cam_lord_hu9_slann_mace	0
