projectile_impacts_tables
11
key	water	sails	mud	grass	road	rock	sand	cloth	snow	leather	wood	foliage
wh_main_impact_medium	wh_main_impact_medium_water		wh_main_impact_medium_mud	wh_main_impact_medium_grass	wh_main_impact_medium_rock	wh_main_impact_medium_rock	wh_main_impact_medium_sand	wh_main_impact_medium_snow	wh_main_impact_medium_leather	wh_main_impact_medium_wood	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_light
wh_main_impact_small	wh_main_impact_small_water		wh_main_impact_small_mud	wh_main_impact_small_grass	wh_main_impact_small_rock	wh_main_impact_small_rock	wh_main_impact_small_sand	wh_main_impact_small_snow	wh_main_impact_small_leather	wh_main_impact_small_wood	wh_dlc02_arrow_impact_blood_medium	
wh_main_impact_very_large	wh_main_impact_vlarge_water		wh_main_impact_vlarge_mud	wh_main_impact_vlarge_grass	wh_main_impact_vlarge_rock	wh_main_impact_vlarge_rock	wh_main_impact_vlarge_sand	wh_main_impact_vlarge_snow	wh_main_impact_vlarge_leather	wh_main_impact_vlarge_wood	wh_dlc02_blood_explosion_medium	wh_main_unit_impact_heavy
wh_main_impact_very_small	wh_main_impact_vsmall_water		wh_main_impact_vsmall_mud	wh_main_impact_vsmall_grass	wh_main_impact_vsmall_rock	wh_main_impact_vsmall_rock	wh_main_impact_vsmall_sand	wh_main_impact_vsmall_snow	wh_main_impact_vsmall_leather	wh_main_impact_vsmall_wood	wh_dlc02_arrow_impact_blood_medium	
wh_main_spell_big_waaagh_foot_of_gork	wh_main_impact_medium_water		wh_main_big_waaagh_foot_of_gork_impact	wh_main_big_waaagh_foot_of_gork_impact	wh_main_big_waaagh_foot_of_gork_impact	wh_main_big_waaagh_foot_of_gork_impact	wh_main_big_waaagh_foot_of_gork_impact	wh_main_big_waaagh_foot_of_gork_impact	wh_main_big_waaagh_foot_of_gork_impact	wh_main_big_waaagh_foot_of_gork_impact		wh_main_unit_impact_heavy
wh_main_spell_big_waaagh_gaze_of_mork	wh_main_impact_medium_water		wh_main_big_waaagh_gaze_of_mork_impact	wh_main_big_waaagh_gaze_of_mork_impact	wh_main_big_waaagh_gaze_of_mork_impact	wh_main_big_waaagh_gaze_of_mork_impact	wh_main_big_waaagh_gaze_of_mork_impact	wh_main_big_waaagh_gaze_of_mork_impact	wh_main_big_waaagh_gaze_of_mork_impact	wh_main_big_waaagh_gaze_of_mork_impact		wh_main_unit_impact_light
wh_main_spell_bound_soulfire	wh_main_impact_medium_water		wh_main_spell_bound_soulfire_impact	wh_main_spell_bound_soulfire_impact	wh_main_spell_bound_soulfire_impact	wh_main_spell_bound_soulfire_impact	wh_main_spell_bound_soulfire_impact	wh_main_spell_bound_soulfire_impact	wh_main_spell_bound_soulfire_impact	wh_main_spell_bound_soulfire_impact		wh_main_unit_impact_light
wh_main_spell_fire_fireball	wh_main_impact_medium_water		wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_entity_explosion	wh_main_fire_fireball_impact		wh_main_unit_impact_light
wh_main_spell_fire_piercing_bolts_of_burning	wh_main_impact_medium_water		wh_main_fire_piercing_bolts_of_burning_impact	wh_main_fire_piercing_bolts_of_burning_impact	wh_main_fire_piercing_bolts_of_burning_impact	wh_main_fire_piercing_bolts_of_burning_impact	wh_main_fire_piercing_bolts_of_burning_impact	wh_main_fire_piercing_bolts_of_burning_impact	wh_main_fire_piercing_bolts_of_burning_explode	wh_main_fire_piercing_bolts_of_burning_impact		wh_main_unit_impact_light
wh_main_spell_heavens_comet_of_casandora	wh_main_impact_large_water		wh_main_heavens_comet_of_casandora_impact	wh_main_heavens_comet_of_casandora_impact	wh_main_heavens_comet_of_casandora_impact	wh_main_heavens_comet_of_casandora_impact	wh_main_heavens_comet_of_casandora_impact	wh_main_heavens_comet_of_casandora_impact	wh_main_heavens_comet_of_casandora_impact	wh_main_heavens_comet_of_casandora_impact		wh_main_unit_impact_heavy
wh_main_spell_heavens_urannons_thunderbolt	wh_main_impact_medium_water		wh_main_heavens_urannons_thunderbolt_impact	wh_main_heavens_urannons_thunderbolt_impact	wh_main_heavens_urannons_thunderbolt_impact	wh_main_heavens_urannons_thunderbolt_impact	wh_main_heavens_urannons_thunderbolt_impact	wh_main_heavens_urannons_thunderbolt_impact	wh_main_heavens_urannons_thunderbolt_impact	wh_main_heavens_urannons_thunderbolt_impact		wh_main_unit_impact_medium
wh_main_spell_light_shems_burning_gaze	wh_main_impact_medium_water		wh_main_light_shems_burning_gaze_target	wh_main_light_shems_burning_gaze_target	wh_main_light_shems_burning_gaze_target	wh_main_light_shems_burning_gaze_target	wh_main_light_shems_burning_gaze_target	wh_main_light_shems_burning_gaze_target	wh_main_light_shems_burning_gaze_target	wh_main_light_shems_burning_gaze_target		wh_main_unit_impact_light
wh_main_spell_lil_waaagh_vindictive_glare	wh_main_impact_medium_water		wh_main_lil_waaagh_vindictive_glare_impact	wh_main_lil_waaagh_vindictive_glare_impact	wh_main_lil_waaagh_vindictive_glare_impact	wh_main_lil_waaagh_vindictive_glare_impact	wh_main_lil_waaagh_vindictive_glare_impact	wh_main_lil_waaagh_vindictive_glare_impact	wh_main_lil_waaagh_vindictive_glare_impact	wh_main_lil_waaagh_vindictive_glare_impact		wh_main_unit_impact_light
wh_main_spell_metal_searing_doom	wh_main_impact_medium_water		wh_main_metal_searing_doom_impact	wh_main_metal_searing_doom_impact	wh_main_metal_searing_doom_impact	wh_main_metal_searing_doom_impact	wh_main_metal_searing_doom_impact	wh_main_metal_searing_doom_impact	wh_main_metal_searing_doom_impact	wh_main_metal_searing_doom_impact		wh_main_unit_impact_light
wh_main_spell_vampires_gaze_of_nagash	wh_main_impact_medium_water		wh_main_vampires_gaze_of_nagash_impact	wh_main_vampires_gaze_of_nagash_impact	wh_main_vampires_gaze_of_nagash_impact	wh_main_vampires_gaze_of_nagash_impact	wh_main_vampires_gaze_of_nagash_impact	wh_main_vampires_gaze_of_nagash_impact	wh_main_vampires_gaze_of_nagash_impact	wh_main_vampires_gaze_of_nagash_impact		wh_main_unit_impact_light
wh_main_unit_abilities_gyrobomber_bomb	wh_main_impact_large_water		wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_projectile_penetration_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh_main_unit_abilities_gyrocopter_grenade	wh_main_impact_small_water		wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_main_projectile_penetration_impact	wh_main_weapon_gyrobomber_bomb_large_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_light
wh_main_vmp_bones_impact	wh_main_impact_medium_water		wh_main_vmp_dark_magic_small	wh_main_vmp_dark_magic_small	wh_main_vmp_dark_magic_small	wh_main_vmp_dark_magic_small	wh_main_vmp_dark_magic_small	wh_main_vmp_dark_magic_small	wh_main_vmp_dark_magic_entity	wh_main_vmp_dark_magic_small		
wh_main_weapon_cannonball_impact	wh_main_impact_large_water		wh_main_cannonball_impact_large_mud	wh_main_cannonball_impact_large_grass	wh_main_cannonball_impact_large_rock	wh_main_cannonball_impact_large_rock	wh_main_cannonball_impact_large_sand	wh_main_cannonball_impact_large_snow	wh_main_cannonball_impact_large_leather	wh_main_cannonball_impact_large_wood	wh_dlc02_blood_explosion_medium	wh_main_unit_impact_medium
wh_main_weapon_flame_cannon_impact	wh_main_impact_medium_water		wh_main_weapon_flame_cannon_impact	wh_main_weapon_flame_cannon_impact	wh_main_weapon_flame_cannon_impact	wh_main_weapon_flame_cannon_impact	wh_main_weapon_flame_cannon_impact	wh_main_weapon_flame_cannon_impact		wh_main_weapon_flame_cannon_impact		wh_main_unit_impact_light
wh_main_weapon_flamethrower_impact	wh_main_impact_medium_water		wh_main_weapon_flamethrower_impact	wh_main_weapon_flamethrower_impact	wh_main_weapon_flamethrower_impact	wh_main_weapon_flamethrower_impact	wh_main_weapon_flamethrower_impact	wh_main_weapon_flamethrower_impact	wh_main_weapon_flamethrower_impact	wh_main_weapon_flamethrower_impact		wh_main_unit_impact_light
