cai_variables_tables
0
key	value	description
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_EXISTING_STANCE_GROUP_SCORE_BONUS_CAP	0.5	(In-game) Strategic stance system control, provides the limit on the 'existing stances' bonus to a given stance group.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_SUBJUGATION_CURRENT_ATTITUDE_ADJUSTMENT_MULTIPLIER	1	(In-game) Strategic stance system control, current attitude adjustment factor reliability multipler.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_SUBJUGATION_FRIENDLY_BIAS	6	(In-game) Strategic stance system control, the bias provided towards the friendly stance in the subjugation case.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_SUBJUGATION_PER_STANCE_DROP_RATE	4	(In-game) Strategic stance system control, the drop rate from friendly.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_BEING_HUMAN	0.5	(In-game) Strategic stance system score weighting, impact of being human.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_CURRENT_ATTITUDE	3	(In-game) Strategic stance system score weighting, impact of current and historical attitude.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_DIPLOMATIC_TREATIES_CORE	0.5	(In-game) Strategic stance system score weighting, impact of basic treaties.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_DIPLOMATIC_TREATIES_TRANSITIVE	0.5	(In-game) Strategic stance system score weighting, impact of transitive effects between factions based on basic treaties.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_EXISTING_STANCE	0.5	(In-game) Strategic stance system score weighting, impact of existing faction stance.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_IMPORTANCE	0	(In-game) Strategic stance system score weighting, impact of 'importance'.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_SUBJUGATION	1	(In-game) Strategic stance system score weighting, impact of subjugation.
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_TASKS	0.5	(In-game) Strategic stance system score weighting, impact of task generation (types and targets).
CAI_VARIABLE_STRATEGIC_STANCE_CONTROL_WEIGHT_FOR_TREACHERY	1	(In-game) Strategic stance system score weighting, impact of treacheries.
CAI_VARIABLE_TREACHERY_COMPLEX_EVENT_DETECTION_HORIZON_IN_ROUNDS	10	(In-game) Time horizon in rounds beyond which a 'complex' treachery won't be detected.
CAI_VARIABLE_TREACHERY_EVENT_FALLOFF_BASE	1	(In-game) Maximum rate of per event drop of for treachery events. Actually drop of moderated by number of current treachery events.
CAI_VARIABLE_TURNS_TO_IGNORE_SETTLEMENT_AFTER_SACKING	4	(In-game) Number of turns task generation will ignore settlements after sacking it. 0 = ignore for the current turn only.
CAI_VARIABLE_TURNS_TO_IGNORE_SETTLEMENT_AFTER_SACKING_CRD	4	(In-game) Number of turns coordinator will ignore settlements after sacking. 0 = ignore for the current turn only.
CAI_VARIABLE_UNFORTIFIED_SETTLEMENT_FORTIFICATION_BONUS	0	(In-game) AI strength bonus for unfortified settlements.
CAI_VARIABLE_UNFORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER	1	(In-game) AI strength multiplier for unfortified settlements.
CAI_VARIABLE_UNFORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_PRE_ASSAULT	1	(In-game) AI strength multiplier for unfortified settlements, pre-assault.
CAI_VARIABLE_UNFORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_THREAT	1	(In-game) AI strength multiplier for fortified settlements used for threat detection.
CAI_VARIABLE_VICTORY_REGION_ADD_STARTING_REGIONS	0	(In-game) If value > 0 all regions in faction's provinces will be added to victory condition regions when the game starts or faction re-emerges.
CAI_VARIABLE_VICTORY_REGION_MINIMUM_EXTRA	0	(In-game) Minimum number of extra victory regions to be selected at random at campaign start.
CAI_VARIABLE_VICTORY_REGION_MINIMUM_FERTILITY	4	(In-game) Minimum starting fertility of randomly selected victory regions.
CAI_VARIABLE_VICTORY_REGION_MINIMUM_TOTAL	0	(In-game) Minimum number of victory regions for each faction. Extra regions will be selected at random at campaign start.
CAI_VARIABLE_WAAGH_QUALITY_MULTIPLIER	0.5	(In-game) Used for the cap of waags with respect to their parents.  Between 0 and 1, 1 indicates the cap will be higher.
