quotes_tables
0
quote_onscreen	quote_person	key
Their slinking, furred shapes infested the broken city, feasting on the fallen and pulling down the weak... The manlings stood back to back and fought for their lives, but against the implacable ferocity and countless numbers of the verminous horde their weapons were useless. The tide of monstrous rats flowed over them one by one, dragging them down to be torn apart, the yellow chisel-teeth sinking into their soft flesh, the dark-furred mass drowning their pitiful screams with their hideous chattering.	doom_of_kavzar	4653
Bretonnia is a realm of men, but 'twould be nothing without the steeds that carry them. And no Bretonnian mount is greater than the Pegasus, the mighty wing'ed beast that carries the questing Knights far afield, across impassable terrain with terrifying strength, in the name of the Lady.	albert_du_maurier	4656
We tread your path, we fight your fights, we climb the highest peaks and delve into the endless depths. Tells us, Lady, what is it we must do? How best to gain your blessing!?	lancelot_pondrecoq	4660
Now that I have seen Lustria with my own eyes I believe the tales are true - both of the gold that can be pried out of every ruin, and also of the denizens of that cursed land. Lizardmen, savage in deed and heart. It matters not the price, I will not return to those forsaken jungles again.	vincenzo_corenzo	4661
So they sent for a witch with a terrible twitch to ask how my future impressed her. She took one look at me and cried, "He, he, he, HE! What else could he be but a jester?" A jester? A jester? A funny idea. No butcher, no baker, no candlestick maker, and me with the look of a fine undertaker impressed her as a jester?	jason_le_wallier	4668
Before Elves, before Dwarfs, before Men, the Old Ones arrived upon this world. Then came Chaos and the Great Plan of the Old Ones was unmade. We are the last of their servants, and only by our hand shall the Great Plan be restored, with the total defeat of the usurping younger races.	hexoatl	4671
We have political systems like this in the Empire. We call them 'protection rackets'…	matthias_von_pfeildorf	4677
I’m not sure what those things were, but they fought like cornered... er...	josef_schneidling	4678
The weak Elves of Ulthuan fear us, for our ways are the true ways. They fear what they cannot understand and instead cower behind the lies of their false history. Fools and cowards, it is but a matter of time before we wipe them from Ulthuan and regain our rightful place as masters of that isle. And from there, we shall take the world.	keress	4680
What is a Knight without his steed? But what is the steed without his knight? Knight and Steed, noble and peasant; on such relationships is Bretonnia built.	louen_king	4681
All that stuff about Cloaked Brothers is bunk. Like the Skaven, they don’t exist.	kleber_reinhard	4684
Our duty is clear. If you cannot stand against them, then we will take a force and destroy these Rat-things that prey upon you. Make way.	lord_adana	4688
Bretonnia is fair and peaceful because everyone knows their place. Yours is with the truffle hounds.	thederic_de_maronz	4691
We shall strike down our foe with sharp steel and cold hearts. The weak die so that the strong shall be spared. Then and only then will our enemies know the true meaning of fear.	malekith	4694
Manlings will fall! Yes-yes... in time...	man_flayer	4702
Dangerous it is, to touch Warpstone often. But that’s what slaves are for, yes-yes?	narshift	4712
Most precious of all substances, the pulse of our life. If the Horned Rat is our father, then surely, Warpstone is our mother. Its uses are infinite. Like the heart of an endless fire, it is.	narshift	4714
Our beautiful land is besieged on all sides, but we resist like our fathers did before us. We will emerge victorious and more intractable than ever to these turbulent times when our corrupt brothers come to ravage our shores. We are Asur; the sons of Aenarion and Ulthuan shall never fall. 	tyrion	4715
Sometimes – you might think I’m as crazy as a doom prophet – but sometimes I think those rats are watching me. You know, spying like. Sigmar preserve me, but I don’t like it much. I’d hate to see it if the rodents ever got their way. Still, I get paid for catching a pole-full. Give us another one, Bessie.	ludwig_nusbaum	4717
The hunting of vermin is a task for peasants, not for a Knight of Our Lady.	phillipe_de_blois	4725
Oh my brothers, what need be said? We are the chosen of our Master, the true Lord of Decay, whose seat remains always-always filled upon the Council of Thirteen. Other seats may change hands, but His will always remain, and no-none other can lay claim to it. We speak His truths. We hear His thoughts. We know His purpose. We are the guides of our people, the spiritual compass that guides-leads them to their destinies as killer-masters of the world.	skreelin_thurntik	4733
The horrors and the wonders they must have seen, these Phoenix Guard. How I wish they would only speak of it to mortals not gifted with such foresight.	herwig_algnar	4736
To sail with a Black Ark is one of the greatest honours that any Druchii could ever aspire to. I trained long and hard to earn my berth upon the Wind of Damnation, slaying several undeserving rivals to the post along the way. It is a worthy life. I get to regularly practice my skills upon our many enemies and one tenth of the plunder that I seize is mine to keep. Slaves, gold, and fame, these too can be yours if you are bold.	teilancarr	4742
You disappoint me, Queek. To be a Lord of Decay is not to stab and kill and smash all things aside. You lack circumspection. You are a killer, nothing more.	gnawdwell	4748
You were so magnificent when I found you, the biggest in your litter, and they were all large before you ate them. I raised you, I fed you the best Dwarf-meat and Man-flesh. And you have become even more magnificent. Such courage. There is none other like you, Queek. You are unnaturally brave. Others think you freakish for leading from the front, not the back. But I do not. I am proud of my Queek.	gnawdwell	4749
At the time of the three hundredth cycle of this world, the two moons shall unite and summon forth the rodent god and his evil spawn to deliver plague and pestilence upon the land named Lustria.	prophecy_of_sotek	4752
Can’t you hear them? The scratching? The skittering? The squeeking? They are under our very feet!	sarathai	4753
Please, come in and join me for dinner. I can see from the way you dress, you are a man of exquisite... taste.	isabella_von_carstein	4756
Skaven society is tyranny moderated by assassination.	corbeau	4758
We are the chosen of Asuryan, beloved of the gods and heirs to the world. Our armies are the finest in creation; swift where our foes are lumbering, cultured where they are barbaric. Give no thought to failure, nor defeat – we are the Children of Ulthuan and we shall prevail.	silverwing	4760
Yes-yes Warlord Krizk – for a treaty-pledge of just 200 Slaves, twelve claws of Warptokens, a Breeder and certain alliances and pledges, one of our very-very finest Clan Moulder Rat Ogres can be yours...	haggle_master	4764
At the time of the three hundredth cycle of this world, the two moons shall unite and summon forth the Rodent God and his evil spawn to deliver plague and pestilence upon the land named Lustria.	sotek_prophecy	477074157
An Ancient blade shattered in the War of the Beard, almost symbolic of that feud. Forged by the Dwarfs, enchanted by the Elves, broken by their conflict.	tyrion	554889164
It has been mostly my pleasure to meet you all, though I have not a clue what your names are, and all of you look pretty much the same to me.	malekith_karak_address	752804730
We found it the ruins of the Kalak Wastes. I know not its significance, only that it-even such a small piece-radiates power.	bilgarim_whitestar	839009022
Kill them. Kill them all.	malekith	84192767
Pass me another Itxi grub.	lord_ztlocutec	871484687
They should not be here.	lord_huinitenuchli	952386552
Amid the darkness and horror of a world splintering apart, the armies of the true creators, we who were ancient at the dawn of time, will march forth once more. We shall sweep away all that is chaos and disorder, for ours is the true path, and none shall defy us.	lord_kroak	972589836
All decent folk find the common rat repulsive. Harbinger of disease, it scavenges on our waste-heaps and frightens our children. How immeasurably worse then is the foul Skaven - standing on its hindlegs in foul parody of a human. Rats as tall as man, and blessed with the most vile intellect and cunning. They are the dark side of our souls, come to destroy us for our sins.	albrecht_of_nuln	980905120
Your doom is coming, Man-things.	anon	986647988
